object			
volume	00216x02	James Diderot & al.	{date}
pb	1	0003	
entry	ANGINA	28	
orth	ANGINA		
pb	3	0004	
clique	Ægyptia ulcera		
pb	5	0005	
pb	7	0006	
pb	9	0007	
pb	11	0008	
pb	13	0009	
pb	15	0010	
pb	17	0011	
pb	19	0012	
pb	21	0013	
pb	23	0014	
pb	25	0015	
pb	27	0016	
pb	29	0017	
pb	31	0018	
pb	33	0019	
pb	35	0020	
pb	37	0021	
pb	39	0022	
pb	41	0023	
pb	43	0024	
clique	Planche I. fige		
pb	45	0025	
pb	47	0026	
pb	49	0027	
pb	51	0028	
pb	53	0029	
clique	Inflammatio		
pb	55	0030	
clique	Abscisses & Inflammatio		
clique	Abscesseus		
clique	Gangrena		
pb	57	0031	
entry	ANGIOSPERMOS	0	
orth	ANGIOSPERMOS		
entry	ANGLICUS SUDOR	0	
orth	ANGLICUS SUDOR		
clique	Sudor Anglixus		
entry	ANGOLAM	0	
orth	ANGOLAM		
entry	ANGOR	0	
orth	ANGOR		
entry	ANGOS	0	
orth	ANGOS		
entry	ANGSANA	0	
orth	ANGSANA		
entry	ANGUILLA	1	
orth	ANGUILLA		
pb	59	0032	
entry	ANGUIS	0	
orth	ANGUIS		
clique	Anguium Senecta		
entry	ANGUIS ÆSCULAPII	0	
orth	ANGUIS ÆSCULAPII		
entry	ANGUIUM SENECTA	0	
orth	ANGUIUM SENECTA		
entry	ANGULI OCULI	0	
orth	ANGULI OCULI		
entry	ANGURIA	0	
orth	ANGURIA		
clique	Citrullus		
entry	ANGUSTIA	0	
orth	ANGUSTIA		
entry	ANHALDINUM	0	
orth	ANHALDINUM		
entry	ANHALTINA REMEDIA	0	
orth	ANHALTINA REMEDIA		
entry	ANHALTINA	0	
orth	ANHALTINA		
entry	ANHELATIO, ANHELITUS	0	
orth	ANHELATIO		
orth	ANHELITUS		
entry	ANHIMA	1	
orth	ANHIMA		
pb	61	0033	
entry	ANHUIBA	0	
orth	ANHUIBA		
entry	ANIADA	0	
orth	ANIADA		
entry	ANIADAY	0	
orth	ANIADAY		
entry	ANIADON, ANIADUM, ANIADUS	0	
orth	ANIADON		
orth	ANIADUM		
orth	ANIADUS		
entry	ANICETON	0	
orth	ANICETON		
entry	ANIDROS	0	
orth	ANIDROS		
entry	ANIDROSIS	0	
orth	ANIDROSIS		
entry	ANIDROTI	0	
orth	ANIDROTI		
entry	ANIL	1	
orth	ANIL		
pb	63	0034	
entry	ANIMAL	1	
orth	ANIMAL		
clique	Analysis		
pb	65	0035	
entry	ANIMAL BEZOARTICUM ORIENTALE	0	
orth	ANIMAL BEZOARTICUM ORIENTALE		
clique	Bezoar		
entry	ANIMAL BEZOARTICUM OCCIDENTALE	0	
orth	ANIMAL BEZOARTICUM OCCIDENTALE		
entry	ANIMAL MOSCHIFERUM	0	
orth	ANIMAL MOSCHIFERUM		
clique	Moschus		
entry	ANIMAL ZIBETHICUM	0	
orth	ANIMAL ZIBETHICUM		
entry	ANIMALCULA	5	
orth	ANIMALCULA		
pb	67	0036	
pb	69	0037	
pb	71	0038	
pb	73	0039	
pb	75	0040	
entry	ANIMALIS FACULTAS, VIRTUS	0	
orth	ANIMALIS FACULTAS		
orth	VIRTUS		
clique	Facultas		
entry	ANIMALIS MOTUS	0	
orth	ANIMALIS MOTUS		
entry	ANIMALIS SPIRITUS	0	
orth	ANIMALIS SPIRITUS		
clique	Spiritus		
