object			
volume	00216x03	James Diderot & al.	{date}
pb	1	0007	
entry	CARDAMANTICE	0	
orth	CARDAMANTICE		
clique	Cardamine		
entry	CARDAMELEUM	0	
orth	CARDAMELEUM		
entry	CARDAMINDUM	0	
orth	CARDAMINDUM		
clique	Acri		
entry	CARDAMINE	0	
orth	CARDAMINE		
entry	CARDAMOMUM	1	
orth	CARDAMOMUM		
pb	3	0008	
clique	Amomum		
entry	CARDAMON	0	
orth	CARDAMON		
entry	CARDIA	0	
orth	CARDIA		
clique	Ventriculus		
entry	CARDIACA	0	
orth	CARDIACA		
entry	CARDIACA PASSIO	6	
orth	CARDIACA PASSIO		
pb	5	0009	
pb	7	0010	
pb	9	0011	
pb	11	0012	
pb	13	0013	
clique	Aqua		
pb	15	0014	
entry	CARDIALGIA	5	
orth	CARDIALGIA		
clique	Cardiogmus		
pb	17	0015	
pb	19	0016	
pb	21	0017	
pb	23	0018	
pb	25	0019	
entry	CARDIMELECH	0	
orth	CARDIMELECH		
entry	CARDINALIS	0	
orth	CARDINALIS		
entry	CARDINAMENTUM	0	
orth	CARDINAMENTUM		
entry	CARDIOBOTANON	0	
orth	CARDIOBOTANON		
entry	CARDIOGMUS	1	
orth	CARDIOGMUS		
pb	27	0020	
clique	Cardialgia		
entry	CARDIOTROTUS	0	
orth	CARDIOTROTUS		
entry	CARDIR	0	
orth	CARDIR		
entry	CARDIS	0	
orth	CARDIS		
entry	CARDO	0	
orth	CARDO		
entry	CARDONIUM	0	
orth	CARDONIUM		
entry	CARDOPATIUM	0	
orth	CARDOPATIUM		
entry	CARDUELIS	0	
orth	CARDUELIS		
entry	CARDUNCELLUS	0	
orth	CARDUNCELLUS		
clique	Cardiobotanon		
entry	CARDUUS	2	
orth	CARDUUS		
clique	Acanthus		
pb	29	0021	
pb	31	0022	
clique	Carthamus		
clique	Cinara		
clique	Cnicus		
clique	Ananas		
clique	Dipsacus		
clique	Calcitrapa		
clique	Carelna		
pb	33	0023	
entry	CAREBARIA	0	
orth	CAREBARIA		
entry	CARENA	0	
orth	CARENA		
entry	CARENUM	0	
orth	CARENUM		
entry	CARETTI	0	
orth	CARETTI		
clique	Bonduch		
entry	CAREUM	0	
orth	CAREUM		
entry	CARICA	0	
orth	CARICA		
entry	CARICUM	0	
orth	CARICUM		
