object			
volume	61157	Bégin	{date}
orth	PARABOLANI		
pb	341	0173	
entry	PARABOLICUS IGNIS	0	
orth	PARABOLICUS IGNIS		
entry	PARACELSUS	0	
orth	PARACELSUS		
entry	PARACENTESIS	0	
orth	PARACENTESIS		
clique	Hydrops		
entry	PARACMASTICOS	0	
orth	PARACMASTICOS		
entry	PARACME	0	
orth	PARACME		
entry	PARACOE	0	
orth	PARACOE		
entry	PARACOLLETICOS	0	
orth	PARACOLLETICOS		
entry	PARACOPE	0	
orth	PARACOPE		
entry	PARACRUSIS	0	
orth	PARACRUSIS		
entry	PARACYNANCHE	0	
orth	PARACYNANCHE		
entry	PARADISI GRANA	0	
orth	PARADISI GRANA		
clique	Cardamomurn		
entry	PARAGOGE	0	
orth	PARAGOGE		
entry	PARALAMPSIS	0	
orth	PARALAMPSIS		
entry	PARALIUS	0	
orth	PARALIUS		
entry	PARALLAXIS	0	
orth	PARALLAXIS		
entry	PARALLELA	0	
orth	PARALLELA		
entry	PARALOPHIA	0	
orth	PARALOPHIA		
entry	PARALYSIS	9	
orth	PARALYSIS		
pb	343	0174	
clique	Apoplexia		
clique	Aphonia		
pb	345	0175	
pb	347	0176	
pb	349	0177	
pb	351	0178	
pb	353	0179	
pb	355	0180	
pb	357	0181	
pb	359	0182	
entry	PARAMERIA	0	
orth	PARAMERIA		
entry	PARAMESOS	0	
orth	PARAMESOS		
entry	PARANOEA	0	
orth	PARANOEA		
entry	PARAPAR	0	
orth	PARAPAR		
entry	PARAPECHION	0	
orth	PARAPECHION		
entry	PARAPHIMOSIS	1	
orth	PARAPHIMOSIS		
pb	361	0183	
entry	PARAPHORA	0	
orth	PARAPHORA		
entry	PARAPHRENITIS	1	
orth	PARAPHRENITIS		
pb	363	0184	
entry	PARAPHROSYNE	0	
orth	PARAPHROSYNE		
entry	PARAPLEGIA	0	
orth	PARAPLEGIA		
entry	PARARMA	0	
orth	PARARMA		
entry	PARARTHREMA	0	
orth	PARARTHREMA		
entry	PARARRHYTHMOS	0	
orth	PARARRHYTHMOS		
entry	PARASCHIDES	0	
orth	PARASCHIDES		
entry	PARASEISMA	0	
orth	PARASEISMA		
entry	PARASITÆ PLANTÆ	0	
orth	PARASITÆ PLANTÆ		
entry	PARASPHAGIS	0	
orth	PARASPHAGIS		
entry	PARASTATÆ	0	
orth	PARASTATÆ		
entry	PARASTREMMA	0	
orth	PARASTREMMA		
entry	PARASYNANCHE	0	
orth	PARASYNANCHE		
clique	Angfna		
entry	PARATHENAR	0	
orth	PARATHENAR		
entry	PARDALIANCHES	0	
orth	PARDALIANCHES		
entry	PARDUS	0	
orth	PARDUS		
entry	PAREAS	0	
orth	PAREAS		
entry	PAREDRIA	0	
orth	PAREDRIA		
entry	PAREGORICUS	0	
orth	PAREGORICUS		
entry	PAREIRA BRAVA	1	
orth	PAREIRA BRAVA		
pb	365	0185	
entry	PARENCEPHALIS	0	
orth	PARENCEPHALIS		
clique	Cerebellum		
entry	PARENCHYMA	0	
orth	PARENCHYMA		
entry	PARESIS	0	
orth	PARESIS		
entry	PARIETALIA OSSA	0	
orth	PARIETALIA OSSA		
entry	PARIETARIA	1	
orth	PARIETARIA		
pb	367	0186	
entry	PARILI	0	
orth	PARILI		
entry	PARIS HERBA	0	
orth	PARIS HERBA		
clique	Herba Paris		
entry	PARISTHMIA	0	
orth	PARISTHMIA		
clique	Tonsillae		
entry	PARITI	0	
orth	PARITI		
entry	PARKINSONIA	0	
orth	PARKINSONIA		
entry	PARNASSIA	0	
orth	PARNASSIA		
entry	PAROCHETEUSIS	0	
orth	PAROCHETEUSIS		
entry	PARODONTIDES	0	
orth	PARODONTIDES		
clique	Partiels		
entry	PARONYCHIA	3	
orth	PARONYCHIA		
pb	369	0187	
pb	371	0188	
pb	373	0189	
entry	PARONYCHIA	1	
orth	PARONYCHIA		
pb	375	0190	
entry	PAROPIÆ	0	
orth	PAROPIÆ		
entry	PAROPTESIS	0	
orth	PAROPTESIS		
entry	PARORASIS	0	
orth	PARORASIS		
entry	PAROTIS	0	
orth	PAROTIS		
clique	Saliva		
clique	Suppuratio		
entry	PAROXYSMUS	0	
orth	PAROXYSMUS		
entry	PARTHENIASTRUM	0	
orth	PARTHENIASTRUM		
entry	PARTHENIUM	1	
orth	PARTHENIUM		
clique	Mairie aria		
clique	Obstetricatio		
pb	377	0191	
entry	PARVIBIBULUS	0	
orth	PARVIBIBULUS		
clique	Brachypotae		
entry	PARULIS	0	
orth	PARULIS		
clique	Epulis		
entry	PARUS	0	
orth	PARUS		
entry	PASIONIS PASTILLUS	0	
orth	PASIONIS PASTILLUS		
entry	PASSA	0	
orth	PASSA		
entry	PASSAVANTICUS PULVIS	0	
orth	PASSAVANTICUS PULVIS		
entry	PASSER VULGARIS	0	
orth	PASSER VULGARIS		
entry	PASSERINA	0	
orth	PASSERINA		
entry	PASSIO	0	
orth	PASSIO		
entry	PASSULÆ	0	
orth	PASSULÆ		
clique	Uva		
entry	PASSULATUM	0	
orth	PASSULATUM		
entry	PASSUM	0	
orth	PASSUM		
entry	PASSY	4	
orth	PASSY		
pb	379	0192	
pb	381	0193	
pb	383	0194	
pb	385	0195	
entry	PASTA	0	
orth	PASTA		
entry	PASTÆTUM	0	
orth	PASTÆTUM		
entry	PASTILLUS	0	
orth	PASTILLUS		
entry	PASTINACA	1	
orth	PASTINACA		
clique	Opopanax		
pb	387	0196	
entry	PATELLA	0	
orth	PATELLA		
entry	PATETHEISÆ, PATETÆ UVÆ	0	
orth	PATETHEISÆ		
orth	PATETÆ UVÆ		
entry	PATHEMA	0	
orth	PATHEMA		
entry	PATHETICUS	0	
orth	PATHETICUS		
entry	PATHOGNOMICUS	0	
orth	PATHOGNOMICUS		
entry	PATHOLOGIA	0	
orth	PATHOLOGIA		
entry	PATIAS	0	
orth	PATIAS		
entry	PATIENTIA	0	
orth	PATIENTIA		
entry	PATIENTIÆ MUSCULUS	0	
orth	PATIENTIÆ MUSCULUS		
entry	PATOR NARIUM	0	
orth	PATOR NARIUM		
entry	PATOS	0	
orth	PATOS		
clique	Rhypos		
entry	PATRIMONIUM	0	
orth	PATRIMONIUM		
entry	PATURSA	0	
orth	PATURSA		
entry	PAVATE	0	
orth	PAVATE		
entry	PAUCIFERUS	0	
orth	PAUCIFERUS		
entry	PAVEL	0	
orth	PAVEL		
entry	PAVIA	1	
orth	PAVIA		
pb	389	0197	
entry	PAULA	0	
orth	PAULA		
entry	PAULADADUM	0	
orth	PAULADADUM		
entry	PAVO	0	
orth	PAVO		
entry	PAVOR	0	
orth	PAVOR		
entry	PAUSIS	0	
orth	PAUSIS		
entry	PAYCO HERBA	0	
orth	PAYCO HERBA		
entry	PECHEDION	0	
orth	PECHEDION		
entry	PECHYAGRA	0	
orth	PECHYAGRA		
entry	PECHYS	0	
orth	PECHYS		
entry	PECHYTYRBE	0	
orth	PECHYTYRBE		
entry	PECTEN	0	
orth	PECTEN		
entry	PECTINÆUS MUSCULUS	0	
orth	PECTINÆUS MUSCULUS		
entry	PECTINATIO	0	
orth	PECTINATIO		
entry	PECTORALIS	2	
orth	PECTORALIS		
pb	391	0198	
pb	393	0199	
entry	PECTUNCULUS	0	
orth	PECTUNCULUS		
entry	PECTUS	0	
orth	PECTUS		
entry	PEDAGRA	0	
orth	PEDAGRA		
entry	PEDETHMOS	0	
orth	PEDETHMOS		
entry	PEDICULARIS	0	
orth	PEDICULARIS		
clique	Alectorolophus		
entry	PEDICULATIO	0	
orth	PEDICULATIO		
clique	Phthiriasis		
entry	PEDICULUS	0	
orth	PEDICULUS		
entry	PEDILUVIUM	1	
orth	PEDILUVIUM		
pb	395	0200	
entry	PEDION	0	
orth	PEDION		
entry	PEDORA	0	
orth	PEDORA		
entry	PEDRO DEL COBRA	0	
orth	PEDRO DEL COBRA		
clique	Hystrix		
entry	PEDUNCULUS	0	
orth	PEDUNCULUS		
entry	PEGANELÆON	0	
orth	PEGANELÆON		
entry	PEGANERON	0	
orth	PEGANERON		
entry	PEGANIUM	0	
orth	PEGANIUM		
entry	PEGANON	0	
orth	PEGANON		
entry	PEGE	0	
orth	PEGE		
entry	PEGERNUS	0	
orth	PEGERNUS		
entry	PELA	0	
orth	PELA		
entry	PELADA	0	
orth	PELADA		
entry	PELAMYS	0	
orth	PELAMYS		
clique	Thunnus		
entry	PELARION	0	
orth	PELARION		
entry	PELECANUS	0	
orth	PELECANUS		
entry	PELECINUS	0	
orth	PELECINUS		
entry	PELIAS	0	
orth	PELIAS		
clique	Elaps		
entry	PELICIDE	0	
orth	PELICIDE		
entry	PELIOMA	0	
orth	PELIOMA		
entry	PELLICULA	0	
orth	PELLICULA		
entry	PELLIS	0	
orth	PELLIS		
entry	ΡΕLΜΑ	0	
orth	ΡΕLΜΑ		
entry	PELORIS	0	
orth	PELORIS		
entry	PELTATIS CARTILAGO	0	
orth	PELTATIS CARTILAGO		
entry	PELVIS	1	
orth	PELVIS		
clique	Abdomen		
clique	Innominata ossea		
pb	397	0201	
clique	Auris		
clique	Cerebrum		
entry	PEMPHIGODES	0	
orth	PEMPHIGODES		
entry	PEMPTÆUS	0	
orth	PEMPTÆUS		
entry	PENICILLUS	0	
orth	PENICILLUS		
entry	PENIDIUM SACCHARUM	0	
orth	PENIDIUM SACCHARUM		
entry	PENIS	3	
orth	PENIS		
pb	399	0202	
pb	401	0203	
pb	403	0204	
entry	PENNA	0	
orth	PENNA		
entry	PENO-ABSOU	0	
orth	PENO-ABSOU		
entry	PENTADACTYLON	0	
orth	PENTADACTYLON		
entry	PENTAMOERON	0	
orth	PENTAMOERON		
entry	PENTAMYRON	0	
orth	PENTAMYRON		
clique	Pentarnoeron		
entry	PENTANEURON	0	
orth	PENTANEURON		
entry	PENTAPHARMACUM	0	
orth	PENTAPHARMACUM		
entry	PENTAPHYLLOIDES	1	
orth	PENTAPHYLLOIDES		
pb	405	0205	
entry	PENTAPHYLLUM	0	
orth	PENTAPHYLLUM		
entry	PENTAPLEVRUM	0	
orth	PENTAPLEVRUM		
entry	PENTHETHON	0	
orth	PENTHETHON		
entry	PENTOROBUS	0	
orth	PENTOROBUS		
entry	PEPASMOS	0	
orth	PEPASMOS		
clique	Coctio		
entry	PEPASTICA	0	
orth	PEPASTICA		
entry	PEPITAS DEL PERU	0	
orth	PEPITAS DEL PERU		
entry	PEPLION, PEPLOS	0	
orth	PEPLION		
orth	PEPLOS		
entry	PEPLIS	0	
orth	PEPLIS		
entry	PEPLUS	0	
orth	PEPLUS		
entry	PEPO	1	
orth	PEPO		
pb	407	0206	
entry	PEPTICOS	0	
orth	PEPTICOS		
entry	PEQUEA	0	
orth	PEQUEA		
entry	PERAGU	0	
orth	PERAGU		
entry	PERCA	0	
orth	PERCA		
entry	PERCEPIER	0	
orth	PERCEPIER		
entry	PERCEPIOLUM	1	
orth	PERCEPIOLUM		
pb	409	0207	
entry	PERDETUM	0	
orth	PERDETUM		
entry	PERDICIUM	0	
orth	PERDICIUM		
entry	PERDITIO	0	
orth	PERDITIO		
entry	PERDIX	0	
orth	PERDIX		
clique	Solea		
entry	PERDONIUM	0	
orth	PERDONIUM		
entry	PERELLE	0	
orth	PERELLE		
entry	PERESKIA	0	
orth	PERESKIA		
entry	PERETERION	0	
orth	PERETERION		
entry	PERFOLIATA	1	
orth	PERFOLIATA		
pb	411	0208	
entry	PERFORANS MANUS	1	
orth	PERFORANS MANUS		
pb	413	0209	
entry	PERFORATA	0	
orth	PERFORATA		
entry	PERFORATIO	0	
orth	PERFORATIO		
entry	PERFORATUS MUSCULUS	1	
orth	PERFORATUS MUSCULUS		
pb	415	0210	
entry	PERFRICTIO	0	
orth	PERFRICTIO		
entry	PERIAMMA, PERIAPTON	0	
orth	PERIAMMA		
orth	PERIAPTON		
entry	PERIBLEPSIS	0	
orth	PERIBLEPSIS		
entry	PERIBOLE	0	
orth	PERIBOLE		
entry	PERICARDIUM	0	
orth	PERICARDIUM		
entry	PERICARPIUM	0	
orth	PERICARPIUM		
entry	PERICHRISIS	0	
orth	PERICHRISIS		
entry	PERICLASIS	0	
orth	PERICLASIS		
entry	PERICLYMENUM	0	
orth	PERICLYMENUM		
entry	PERICNEMIA	0	
orth	PERICNEMIA		
entry	PERICRANIUM	0	
orth	PERICRANIUM		
entry	PERIDROMOS	0	
orth	PERIDROMOS		
entry	PERIESTECOS	0	
orth	PERIESTECOS		
entry	PERIGRAPHE	0	
orth	PERIGRAPHE		
entry	PERIN	0	
orth	PERIN		
entry	PERINÆUM	3	
orth	PERINÆUM		
clique	Obstetricatio		
pb	417	0211	
pb	419	0212	
pb	421	0213	
entry	PERIN-KARA	0	
orth	PERIN-KARA		
entry	PERIN-NINOURI	1	
orth	PERIN-NINOURI		
pb	423	0214	
entry	PERIN-PANEL	0	
orth	PERIN-PANEL		
entry	PERINYCTIDES	0	
orth	PERINYCTIDES		
entry	PERIODEUTES	0	
orth	PERIODEUTES		
entry	PERIODUS	0	
orth	PERIODUS		
entry	PERIOSTEUM	0	
orth	PERIOSTEUM		
entry	PERIPHIMOSIS	0	
orth	PERIPHIMOSIS		
clique	Paraphimosis		
entry	PERIPLEUMONIA	0	
orth	PERIPLEUMONIA		
clique	Peripneumonia		
entry	PERIPLOCA	0	
orth	PERIPLOCA		
entry	PERIPLUSIS	0	
orth	PERIPLUSIS		
entry	PERIPNEUMONIA VERA	13	
orth	PERIPNEUMONIA VERA		
pb	425	0215	
pb	427	0216	
clique	Inflammatio		
pb	429	0217	
pb	431	0218	
pb	433	0219	
pb	435	0220	
pb	437	0221	
pb	439	0222	
pb	441	0223	
pb	443	0224	
pb	445	0225	
clique	Peripneumonia		
pb	447	0226	
clique	Inflammatio		
clique	Inflammatio		
pb	449	0227	
entry	PERIPTOSIS	0	
orth	PERIPTOSIS		
entry	PERIPYEMA	0	
orth	PERIPYEMA		
entry	PERIRRHEPSIS	0	
orth	PERIRRHEPSIS		
entry	PERIRRHOEA	0	
orth	PERIRRHOEA		
entry	PERISCELES	0	
orth	PERISCELES		
entry	PERISCEPASTRUM	0	
orth	PERISCEPASTRUM		
clique	Catholceus		
entry	PERISCYPHISMUS	1	
orth	PERISCYPHISMUS		
pb	451	0228	
entry	PERISPHALSIS	0	
orth	PERISPHALSIS		
entry	PERISSOSIS	0	
orth	PERISSOSIS		
entry	PERISTALTICUS	0	
orth	PERISTALTICUS		
entry	PERISTERON	0	
orth	PERISTERON		
entry	PERISTOLE	0	
orth	PERISTOLE		
entry	PERISTOMA	0	
orth	PERISTOMA		
entry	PERISYSTOLE	0	
orth	PERISYSTOLE		
entry	PERITERION	0	
orth	PERITERION		
entry	PERITEXIS	0	
orth	PERITEXIS		
entry	PERITONÆUM	1	
orth	PERITONÆUM		
pb	453	0229	
entry	PERIZOMA	0	
orth	PERIZOMA		
entry	PERLA	0	
orth	PERLA		
clique	Concha Margaritifera, 8e Margaritae		
entry	PERNA	0	
orth	PERNA		
clique	Pinna		
entry	PERNIO	1	
orth	PERNIO		
pb	455	0230	
entry	PEROLIDUS	0	
orth	PEROLIDUS		
entry	PERONÆUS MUSCULUS	1	
orth	PERONÆUS MUSCULUS		
pb	457	0231	
entry	PERONE	0	
orth	PERONE		
entry	PERPESSIO	0	
orth	PERPESSIO		
entry	PERPETUATIO	0	
orth	PERPETUATIO		
entry	PERSEA	0	
orth	PERSEA		
entry	PERSICA	2	
orth	PERSICA		
pb	459	0232	
pb	461	0233	
clique	Persea		
entry	PERSICARIA	1	
orth	PERSICARIA		
pb	463	0234	
entry	PERTICE CASMIANA	0	
orth	PERTICE CASMIANA		
entry	PERTURBATIO ALVI	0	
orth	PERTURBATIO ALVI		
entry	PERTUSSIS	0	
orth	PERTUSSIS		
entry	PERSICUS IGNIS	0	
orth	PERSICUS IGNIS		
entry	PERSISTENS FEBRIS	0	
orth	PERSISTENS FEBRIS		
entry	PERSIUM	0	
orth	PERSIUM		
clique	Persica		
entry	PERSOLATA	0	
orth	PERSOLATA		
entry	PERSONATA	0	
orth	PERSONATA		
entry	PERSPIRATIO	2	
orth	PERSPIRATIO		
pb	465	0235	
pb	467	0236	
entry	PERVERSIO	0	
orth	PERVERSIO		
entry	PERVIGILIUM	0	
orth	PERVIGILIUM		
clique	Pyretos		
entry	PERVINCA	1	
orth	PERVINCA		
pb	469	0237	
entry	PERUNDIS	0	
orth	PERUNDIS		
clique	Zenda		
entry	PERUVIANUM BALSAMUM	0	
orth	PERUVIANUM BALSAMUM		
clique	Balsamum		
entry	PERUVIANUS CORTEX	0	
orth	PERUVIANUS CORTEX		
entry	PERYGUA	0	
orth	PERYGUA		
clique	Alaternus		
entry	PERYSIAS	0	
orth	PERYSIAS		
entry	PES ANSERINUS	0	
orth	PES ANSERINUS		
clique	Géranium		
clique	Alchimilla		
entry	PESSARIUM	1	
orth	PESSARIUM		
pb	471	0238	
entry	PESSOS	0	
orth	PESSOS		
clique	Pessarium		
entry	PESSULUS	0	
orth	PESSULUS		
entry	PESTICHIÆ	0	
orth	PESTICHIÆ		
clique	Petechiae		
entry	PESTIS	6	
orth	PESTIS		
pb	473	0239	
pb	475	0240	
pb	477	0241	
pb	479	0242	
pb	481	0243	
pb	483	0244	
entry	PETALA	0	
orth	PETALA		
entry	PETALODES	0	
orth	PETALODES		
entry	PETASITES	0	
orth	PETASITES		
entry	PETECHIÆ	0	
orth	PETECHIÆ		
entry	PETECHIALIS FEBRIS	4	
orth	PETECHIALIS FEBRIS		
pb	485	0245	
pb	487	0246	
pb	489	0247	
pb	491	0248	
entry	PETIA	0	
orth	PETIA		
entry	PETIGO	0	
orth	PETIGO		
entry	PETIOLUS	0	
orth	PETIOLUS		
entry	PETIVERIA	0	
orth	PETIVERIA		
entry	PETRÆ OLEUM	0	
orth	PETRÆ OLEUM		
clique	Naphtha & Petrolaeum		
entry	PETRACORIUS LAPIS	0	
orth	PETRACORIUS LAPIS		
entry	PETRELÆUM	0	
orth	PETRELÆUM		
clique	Petrolaeum		
entry	PETRIFICATIO	0	
orth	PETRIFICATIO		
clique	Ancubitus		
entry	PETROLÆUM	0	
orth	PETROLÆUM		
entry	PETROMARULA	0	
orth	PETROMARULA		
entry	PETROSELINUM	0	
orth	PETROSELINUM		
clique	Apium		
entry	PETROSUM OS	0	
orth	PETROSUM OS		
clique	Caput		
entry	PETUN	0	
orth	PETUN		
clique	Nicotiana		
entry	PEUCE	1	
orth	PEUCE		
pb	493	0249	
entry	PEUCEDANUM	0	
orth	PEUCEDANUM		
entry	PEVETTI	0	
orth	PEVETTI		
entry	PEXIS	0	
orth	PEXIS		
entry	PEZA	0	
orth	PEZA		
entry	PHACE	0	
orth	PHACE		
entry	PHACOIDES	0	
orth	PHACOIDES		
entry	PHACOPTISSANA	0	
orth	PHACOPTISSANA		
entry	PHACOSIS	0	
orth	PHACOSIS		
entry	PHÆNOMENA	0	
orth	PHÆNOMENA		
entry	PHÆON COLLYRIUM	0	
orth	PHÆON COLLYRIUM		
entry	PHAGEDÆNA	0	
orth	PHAGEDÆNA		
entry	PHAGOS	0	
orth	PHAGOS		
entry	PHAGRUS	0	
orth	PHAGRUS		
entry	PHALACRA	0	
orth	PHALACRA		
entry	PHALACROCORAX	0	
orth	PHALACROCORAX		
entry	PHALACROSIS	0	
orth	PHALACROSIS		
entry	PHALÆNA	0	
orth	PHALÆNA		
entry	PHALAIA	0	
orth	PHALAIA		
entry	PHALANGIA	0	
orth	PHALANGIA		
entry	PHALANGIUM	1	
orth	PHALANGIUM		
pb	495	0250	
entry	PHALANGIUM	0	
orth	PHALANGIUM		
entry	PHALANGOSIS	0	
orth	PHALANGOSIS		
entry	PHALANX	0	
orth	PHALANX		
clique	Brachium		
entry	PHALARIS	1	
orth	PHALARIS		
pb	497	0251	
entry	PHALERÆ	0	
orth	PHALERÆ		
entry	PHANION	0	
orth	PHANION		
entry	PHANLEC	0	
orth	PHANLEC		
entry	PHARICUM	0	
orth	PHARICUM		
entry	PHARMACEIA	0	
orth	PHARMACEIA		
entry	PHARMACIA	0	
orth	PHARMACIA		
entry	PHARMACITES	0	
orth	PHARMACITES		
entry	PHARMACOCHYMIA	0	
orth	PHARMACOCHYMIA		
entry	PHARMACON	0	
orth	PHARMACON		
entry	PHARMACOPŒUS	0	
orth	PHARMACOPŒUS		
entry	PHARMACOPOLA	0	
orth	PHARMACOPOLA		
entry	PHARMACOPOLIUM	0	
orth	PHARMACOPOLIUM		
entry	PHARMACOPOSIA	0	
orth	PHARMACOPOSIA		
entry	PHARMACOTA	0	
orth	PHARMACOTA		
entry	PHARMACOTHECA	0	
orth	PHARMACOTHECA		
entry	PHARMACUM	0	
orth	PHARMACUM		
clique	Pharrnacom		
entry	PHARMACUM AD AURES	0	
orth	PHARMACUM AD AURES		
clique	Ægyptiurn		
entry	PHARMIANUM	0	
orth	PHARMIANUM		
entry	PHARYNGETHRON	0	
orth	PHARYNGETHRON		
entry	PHARYNGÆUM SAL	0	
orth	PHARYNGÆUM SAL		
entry	PHARYNX	0	
orth	PHARYNX		
clique	(Fesiophagus		
entry	PHASEOLUS	1	
orth	PHASEOLUS		
pb	499	0252	
entry	PHASGANIUM	0	
orth	PHASGANIUM		
entry	PHAULUS	0	
orth	PHAULUS		
entry	PHAUSINGES	0	
orth	PHAUSINGES		
entry	PHAUSTIANOS	0	
orth	PHAUSTIANOS		
entry	PHAZALA	0	
orth	PHAZALA		
entry	PHEGOPYRUM	0	
orth	PHEGOPYRUM		
clique	Fagopyrum		
entry	PHELLANDRIUM	1	
orth	PHELLANDRIUM		
pb	501	0253	
entry	PHELLODRYS	0	
orth	PHELLODRYS		
entry	PHELLOS	0	
orth	PHELLOS		
entry	PHEMOS	0	
orth	PHEMOS		
entry	PHENGITES	0	
orth	PHENGITES		
entry	PHENULE	0	
orth	PHENULE		
entry	PHESÆ	0	
orth	PHESÆ		
entry	PHIALA	0	
orth	PHIALA		
entry	PHILADELPHUS	0	
orth	PHILADELPHUS		
entry	PHILADYNAMOS	0	
orth	PHILADYNAMOS		
entry	PHILAGRIANON	0	
orth	PHILAGRIANON		
entry	PHILALYSTES	0	
orth	PHILALYSTES		
entry	PHILANTHROPOS	0	
orth	PHILANTHROPOS		
entry	PHILETÆRIUM	0	
orth	PHILETÆRIUM		
entry	PHILETIS COLLYRIUM	0	
orth	PHILETIS COLLYRIUM		
entry	PHILIPENDULA	0	
orth	PHILIPENDULA		
entry	PHILIPPI TROCHISCUS	0	
orth	PHILIPPI TROCHISCUS		
entry	PHILISTÆA	0	
orth	PHILISTÆA		
entry	PHILLYREA	1	
orth	PHILLYREA		
pb	503	0254	
entry	PHILOCHYMICUS	0	
orth	PHILOCHYMICUS		
entry	PHILOCOTYCHE	0	
orth	PHILOCOTYCHE		
entry	PHILOCRATIS	0	
orth	PHILOCRATIS		
entry	PHILOLAGNOS	0	
orth	PHILOLAGNOS		
entry	PHILOLUTROS	0	
orth	PHILOLUTROS		
entry	PHILOMEDIA	0	
orth	PHILOMEDIA		
entry	PHILOMELA	0	
orth	PHILOMELA		
clique	Lus.cinia		
entry	PHILONIUM	1	
orth	PHILONIUM		
pb	505	0255	
entry	PHILOPARABOLOS	0	
orth	PHILOPARABOLOS		
entry	PHILOXENIAS ANTIDOTUS	0	
orth	PHILOXENIAS ANTIDOTUS		
entry	PHILTRON	0	
orth	PHILTRON		
entry	PHILUMENI MEDICAMENTUM	0	
orth	PHILUMENI MEDICAMENTUM		
entry	PHILYPOSTROPHA	0	
orth	PHILYPOSTROPHA		
entry	PHIMOSIS	1	
orth	PHIMOSIS		
pb	507	0256	
entry	PHLASMA	0	
orth	PHLASMA		
entry	PHLEBION	0	
orth	PHLEBION		
entry	PHLEBODONODEA	0	
orth	PHLEBODONODEA		
entry	PHLEBOPALIE	0	
orth	PHLEBOPALIE		
entry	PHLEBORRHAGIA	0	
orth	PHLEBORRHAGIA		
entry	PHLEBOTOMIA	15	
orth	PHLEBOTOMIA		
pb	509	0257	
pb	511	0258	
pb	513	0259	
pb	515	0260	
pb	517	0261	
pb	519	0262	
pb	521	0263	
pb	523	0264	
pb	525	0265	
pb	527	0266	
pb	529	0267	
pb	531	0268	
pb	533	0269	
pb	535	0270	
pb	537	0271	
entry	PHLEBOTOMUS	0	
orth	PHLEBOTOMUS		
entry	PHLEDONODES	0	
orth	PHLEDONODES		
clique	Phlebodonodes		
entry	PHLEGMA	0	
orth	PHLEGMA		
entry	PHLEGMAGOGUS	0	
orth	PHLEGMAGOGUS		
entry	PHLEGMASIA	0	
orth	PHLEGMASIA		
entry	PHLEGMATIÆ	0	
orth	PHLEGMATIÆ		
entry	PHLEGMATORRHAGIA	0	
orth	PHLEGMATORRHAGIA		
entry	PHLEGMONE	0	
orth	PHLEGMONE		
clique	Inflammatio		
entry	PHLEPS	0	
orth	PHLEPS		
entry	PHLIÆ	0	
orth	PHLIÆ		
entry	PHLOGINON	0	
orth	PHLOGINON		
entry	PHLOGISTOS	0	
orth	PHLOGISTOS		
entry	PHLOGIUM	0	
orth	PHLOGIUM		
entry	PHLOGODES	0	
orth	PHLOGODES		
entry	PHLOGOEIDES	0	
orth	PHLOGOEIDES		
entry	PHLOGOSIS	0	
orth	PHLOGOSIS		
entry	PHLOMIS	1	
orth	PHLOMIS		
pb	539	0272	
entry	PHLUS	0	
orth	PHLUS		
entry	PHLYCTÆNOIDES	0	
orth	PHLYCTÆNOIDES		
entry	PHLYCTIDES	0	
orth	PHLYCTIDES		
entry	PHLYSIS	0	
orth	PHLYSIS		
entry	PHLYZACION	0	
orth	PHLYZACION		
entry	PHOCA, VITULUS MARINUS	0	
orth	PHOCA		
orth	VITULUS MARINUS		
entry	PHOCÆNA	0	
orth	PHOCÆNA		
entry	PHODES, PHOIDES	0	
orth	PHODES		
orth	PHOIDES		
entry	PHŒNICITES	0	
orth	PHŒNICITES		
entry	PHŒNICIUM EMPLASTRUM	0	
orth	PHŒNICIUM EMPLASTRUM		
entry	PHŒNICIUS MORBUS	0	
orth	PHŒNICIUS MORBUS		
clique	Lepra		
entry	PHŒNICOPTERUS	0	
orth	PHŒNICOPTERUS		
entry	PHŒNICURUS	0	
orth	PHŒNICURUS		
entry	PHŒNIGMUS	0	
orth	PHŒNIGMUS		
entry	PHŒNIX	0	
orth	PHŒNIX		
entry	PHOLAS	0	
orth	PHOLAS		
entry	PHOLIS	0	
orth	PHOLIS		
entry	PHOLLIDODES	0	
orth	PHOLLIDODES		
entry	PHORACIODES	1	
orth	PHORACIODES		
pb	541	0273	
entry	PHORIMOS	0	
orth	PHORIMOS		
entry	PHORINE	0	
orth	PHORINE		
entry	PHOS	0	
orth	PHOS		
entry	PHOSPHORUS	3	
orth	PHOSPHORUS		
pb	543	0274	
pb	545	0275	
pb	547	0276	
entry	PHOTEL	0	
orth	PHOTEL		
entry	PHOXINOS SQUAMOSUS	0	
orth	PHOXINOS SQUAMOSUS		
entry	PHOXOS	0	
orth	PHOXOS		
entry	PPRAGMITES	0	
orth	PPRAGMITES		
entry	PHRAGMOS	0	
orth	PHRAGMOS		
entry	PHRASIUM VIRIDE	0	
orth	PHRASIUM VIRIDE		
entry	PHRENES	0	
orth	PHRENES		
entry	PHRENESIS, PHRENETIASIS	0	
orth	PHRENESIS		
orth	PHRENETIASIS		
clique	Phrenitis		
entry	PHRENITICI NERVI	0	
orth	PHRENITICI NERVI		
entry	PHRENITIS	4	
orth	PHRENITIS		
pb	549	0277	
pb	551	0278	
pb	553	0279	
pb	555	0280	
entry	PHRICE	0	
orth	PHRICE		
clique	Horror		
entry	PHRICODES FEBRIS	0	
orth	PHRICODES FEBRIS		
entry	PHRONTIS	0	
orth	PHRONTIS		
entry	PHRYCTE	0	
orth	PHRYCTE		
entry	PHRYGANON	0	
orth	PHRYGANON		
entry	PHRYGIUS LAPIS	1	
