Vedette	Renvoi	Lien mort ?
Fleur	Pistil	
Floral	Bractée	
Flueurs	Fleurs blanches	
Fluidité	Fluide	
Fluors	Fluate	
Foiblesse	Adymanie	???
Foiblesse	Acratie	
Foie	SULFURÉ	
Follette	Grippe	
Fondement	Anus	
Force	Centripète	
Force	Centrifuge	
Force	Affinité	
Frambœsia	Pian	
Frambœsia	Epian	???
Frein	Filet	
Gadolinite	Ytterbi	???
Gastriloque	Engastrimythe	
Gelée	Gélatine	
Genou	Arthrodie	
Genou	Enarthrose	
Gladié	Ensiforme	
Glaise	Alumine	
Glutineux	Gluten	
Gomme	Muqueux	
Goniomètre	Goniométrie	
Gonorrhée	Blennorrhagie	
Gouètre	Bronchocèle	
Goutte	Podagre	
Goutte	Gonagre	
Goutte	Chiragre	
Goutte	Sciatique	
Goutte-rose	Couperose	
Goutte-sereine	Amaurose	
Grando	Orgeolet	
Graphomètre	Goniomètre	
Gras-de-jambe	Mollet	
Grattelle	Gale	
Gravelle	Lithiasis	???
Graviter	Attraction	
Graviter	Gravitation	
Graviter	Gravité	
Grenouillette	Ranule	
Gros	Dragme	
Hectare	Are	
Hectique	Étique	
Hectisie	Étique	
Hectolitre	Litre	
Hédra	Fracture	
Hélode	Élode	
Hendécagone	Endécagone	
Heptagone	Eptagone	
Heptangulaire	Eptagone	
Hexaèdre	Énaèdre	???
Hexagone	Exagone	
Hibride	Hybride	
Hidrogène	Hydrogène	
Hispidité	Distichiasis	
Hispidité	Phalangosis	???
Histoire naturelle	Minéralogie	
Histoire naturelle	Zoologie	
Histoire naturelle	Botanique	
Hydrophysocèle	Hydropneumatocèle	
Hygrophobie	Hydrophobie	
Hygrophthalmique	Hygroblepharique	???
Hygroscope	Hygromètre	
Hyo-épiglottique	Hyoïde	
Hyo-épiglottique	Épiglotte	
Hyopharyngien	Hyoïde	
Hyopharyngien	Pharynx	
Hyothyroïdien	Hyoïde	
Hyothyroïdien	Tyroïde	???
Hypercatharse	Superpurgation	
Hypsiloglosse	Hypsiloïde	
Hystérite	Métrite	
Ichtyopètre	Ichtyolithe	
Ichtyte	Ichtyolithe	
Iléo-colique	Iléon	
Iléo-colique	Colon	
Iléus	Iliaque	
Iliaque	Ilion	
Inappétence	Anorexie	
Incarnatif	Sarcotique	
Indigestion	Apepsie	
Indigestion	Crudité	
Indigestion	Dyspepsie	
Indolence	Apathie	
Infeuillé	Aphylle	
Infibulation	Bouclement	
Infusion	Transfusion	
Innominé	Coxal	
Inquart	Quartation	
Inquiétude	Anxiété	
Insomnie	Agrypnie	
Inspiration	Respiration	
Intellect	Entendement	???
Intercadant	Intercurrent	
Intermission	Apurexie	???
Intermission	Intermittence	
Intermittence	Intermission	
Intermittence	Intermittent	
Intermittence	Apurexie	???
Intestin	Coecum	???
Intestin	Colon	
Intestin	Rectum	
Intigé	Acaule	
Iridium	Ptène	
Irritabilité	Myotilité	
Ischiatique	Ischion	
Jaunisse	Ictère	
Jécoraire	Hépatique	
Jointure	Articulation	
Kératoglosse	Cératoglosse	???
Kilolitre	Litre	
Kystiotomie	Cystotomie	
Lactiphage	Galactophage	
Laryngien	Laryngé	
Lavement	Clystère	
Laxatif	Eccoprotique	???
Léproserie	Maladrerie	
Liber	Livret	
Lignite	Pyrolignite	
Lignuode	Fuligineux	
Lipopsychie	Lypothimie	???
Lipopsychie	Syncope	
Liquide	Fluide	
Lithiate	Urate	
Louche	Strabisme	
Macrocosme	Microcosme	
Mal	Panaris	
Mal	Épilepsie	
Mal	Épilepsie	
Malactique	Émollient	
Mammiforme	Mastoïde	
Mécanique	Dynamique	
Mécanique	Statique	
Médecine	Physiologie	
Médecine	Hygiène	
Médecine	Pathologie	
Médecine	Thérapeutique	
Médecine	Matière médicale	
Ménagogue	Emménagogue	
Mesclérie	Éléphantiasis	
Mésothénar	Antithénar	
Métrorrhagie	Ménorrhagie	
Microcoustique	Microphone	
Millimètre	Mètre	
Milphose	Madarose	
Minoratif	Laxatif	
Minoratif	Eccoprotique	???
Miséréré	Iliaque	
Monocotylédones	Cotylédon	
Moucheture	Scarification	
Mucilage	Muqueux	
Myotilité	Irritabilité	
Nautile	Argonaute	???
Naviculaire	Scaphoïde	
Névrotique	Nervin	
Nitrate	Nitre	
Noctambule	Somnambulisme	
Noctiluque	Phosphore	
Nodus	Tophus	???
Nostomanie	Nostalgie	
Noué	Rachitis	
Noué	Rachitique	
Noueure	Rachitis	
Nubécule	Néphélion	
Nymphomanie	Fureur utérine	
Obturation	Obstruction	
Octopétalé	Pétale	
Odontopètres	Glossopètres	
Odontophie	Dentition	
Œconomie	Économie	
Œdématie	Œdème	
Œdémosarque	Œdème	
Œdémosarque	Sarcome	
Oignon	Bulbe	
Oléo-Saccharum	Eléo-saccharum	???
Ombilic	Nombril	
Omphalocèle	Exomphale	
Onglet	Ptérigion	???
Opération	Synthèse	
Opération	Diérèse	
Opération	Exérèse	
Opération	Prothèse	
Orchestique	Cubistique	
Orchestique	Sphéristique	
Ordinaires	Fleurs	
Ordinaires	Règles	
Ordinaires	Menstrues	
Oreillons	Parotide	
Orgeolet	Orgueilleux	???
Otacoustique	Acoustique	
Ouïe	Branchies	
Palato-pharyngien	Palais	
Palato-pharyngien	Pharynx	
Palato-staphylin	Palais	
Palato-staphylin	Luette	
Pales-couleurs	Chlorose	
Palestrique	Orchestique	
Pandémie	Épidémiques	???
Pandémie	Endémiques	???
Papyrus	Papier	
Paracynancie	Esquinancie	
Parallactique	Parallaxe	
Paraplexie	Paralysie	
Paraplexie	Paraplégie	
Parasquinancie	Parasynancie	
Parastate	Epididyme	???
Parasynancie	Esquinancie	
Parégorique	Anodin	
Parésie	Paralysie	
Passion	Iliaque	
Passion	Histérique	???
Pathologie	Symptomatologie	
Pathologie	Séméiotique	
Pathologie	Nosologie	
Pathologique	Pathologie	
Pédarthrocacé	Spina-ventosa	
Pédiculaire	Phthiriasis	
Pemphigus	Pemphigode	
Pépasme	Coction	
Péricardiaires	Péricarde	
Péricardite	Péricarde	
Périéciens	Périoeciens	
Péristaphylo-pharyngien	Péristaphylin	
Péristaphylo-pharyngien	Pharynx	
Péristole	Péristaltique	
Péritoine	Membrane	
Peste	Adéno-nerveux	???
Petite-vérole	Vérole	
Phalangine	Phalange	
Phalangose	Trichiasis	
Pharmacien	Pharmacope	
Pharyngé	Pharynx	
Pharyngotomie	Pharyngotome	
Phénigme	Rubéfiant	
Phlébotomiste	Phlébotomie	
Phlegmagogue	Flegmagogue	
Phlegmasie	Inflammation	
Phlegmatie	Œdématie	
Phlegmatie	Anasarque	
Phlegmatie	Leucoflegmatie	
Phlegme	Flegme	
Phlegmon	Flegmon	
Phoenicoptère	Phénicoptère	
Phoenigme	Phénigme	
Phœnix	Phénix	
Phonique	Acoustique	
Phrénésie	Frénésie	
Phrénétique	Frénétique	???
Phrénitis	Parafrénésie	???
Physocèle	Pneumatocèle	
Pierre philosophale	Alchimie	
Pierreux	Pétreux	
Pituite	Flegme	
Pléthorique	Pléthore	
Pleuropéripneumonie	Pleuropneumonie	
Pneumonie	Péripneumonie	
Poignet	Carpe	
Poil	Trichiasis	
Poireau	Verrue	
Polypier	Polype	
Polyscope	Polyédre	???
Ponction	Paracentèse	???
Porcelaine	Essère	
Porreau	Poireau	
Poulain	Bubon	
Poussière	Pollen	
