entrée	James EN	James FR
Acuitio	1	1
Aculei	1	
Aculel		1
Aculeosa	1	1
Aculos	1	1
Acumen	1	1
Acumenus	1	1
Acupunctura	1	1
Acureb	1	1
Acuron	1	
Acuron, Alisma		1
Acus	1	1
Acus moschata	1	
Acus pastoris	1	
Acusticus	1	1
Acusto	1	1
Acutenaculum	1	1
Acutus	1	1
Adal	1	1
Adamantis	1	1
Adamas	1	1
Adamitum, Adamita	1	1
Adamus	2	1
Adarces	1	1
Adarigo	1	1
Adarnech	1	
Adarnech, Auripigmentum		1
Adarris	1	1
Adarticulatio, Arthrodia		1
Adarticuratio	1	
Adaxoma		1
Adaxomae	1	
Addephagia, Adephagia	1	1
Additamentum	1	
Additamentum, Epiphisis		1
Additio	1	1
Adductio		1
Adductor	1	1
Adductor ad minimum digitum	1	
Adductor minimi digit pedis, Transversalis pedis placentini	1	
Adductor oculi	1	
Adductor pollicis manus ad indicem, antithenar riol	1	
Adductor pollicis pedis	1	
Adec	1	1
Adech	1	1
Adectos	1	1
Adedentes	1	1
Adehemest	1	
Adelos	1	1
Adelphia	1	1
Adelphixis	1	1
Ademonia	1	1
Aden	1	1
AdeniWs	1	
Adenios		1
Adenoides	1	
Adenoidès		1
Adenosus abscessus	1	1
Adephagia	1	1
Adeps	5	8
Adepta philosophia	1	1
Ader	1	1
Adhaerentia	1	1
Adhatoda	1	1
Adhehe	1	1
Adhemest		1
Adho, Adoc	1	1
Adiachytos	1	1
Adianthum	2	
Adiantum		2
Adiaphoros	1	1
Adiapneustia	1	1
Adiaptotos	1	1
Adiarrhoea	1	1
Adib	1	1
Adibat	1	1
Adibisi, Adibizi	1	1
Adice	1	
Adidacus	1	1
Adiposa membrana	1	1
Adipsatheon	1	1
Adipson	1	1
Adipsos	1	1
Adirige	1	1
Adiylistos	1	1
Adjectio	1	
Adjectio, Additio		1
Adjutorium	1	1
Adjuvantia	1	1
Admirabilis	1	1
Admisurab	1	1
Adnata tunica	1	1
Adnata, Adnascentia	1	1
Adoc		1
Adolescens	1	1
Adonion	1	1
Adonis flos	1	1
Ador	1	1
Adorat	1	1
Ados	1	1
Adplumbatum	1	1
Adra riza	1	1
Adrachne	1	1
Adram	1	1
Adraragi	1	1
Adrariges	1	
Adrianus	1	1
Adrobolon	1	1
Adrop	1	1
Adros	1	1
Adsamar	1	1
Adsellare	1	1
Adstrictio	1	1
Adstringens	1	1
Adulteratio	1	1
Adulterium	1	1
Adustio	1	1
Adustion	1	
Ady	1	1
Adynamia	1	1
Adynamon	1	1
Adynatos	1	1
Aeazo	1	1
Aedeia		1
Aedes	1	1
Aedoia	1	
Aegagropila	1	1
Aegeirinon	1	1
Aegeiros	1	1
Aegides	1	1
Aegidion	1	1
Aegilops	2	2
Aegimius	1	
Aegimus		1
