entrée	James EN	James FR
Camelopardalis, Camelopardus	1	1
Camelus	1	1
Cameratio	1	
Cameratio, Camarosis		1
Camet, Cames	1	1
Caminus	1	1
Camiri	1	1
Camisia	1	
Camisia foetus		1
Cammarum, Cammorum, Camarum	1	1
Camno	1	1
Camomilla	1	1
Camotes	1	1
Campana	1	1
Campaniform	1	
Campaniformes flores		1
Campanula	1	1
Campe	1	1
Camphora	7	11
Camphorata	1	1
Campter	1	1
Campton	1	1
Campylon	1	1
Canabil	1	1
Canadella	1	1
Canaliculus, Canalis arteriosus	1	1
Canalis	1	1
Canalisculus	1	1
Canangae oleum	1	1
Canation	1	1
Cancamum	1	1
Cancellus	1	1
Cancer	4	5
Canchrys, Canchry	1	1
Cancinpericon	1	1
Cancrena	1	1
Candela	1	1
Candelaria, Candela regia	1	1
Candidare		1
Candidus, Candor	1	1
Candisatio	1	1
Candon		1
Candou	1	
Candum		1
Candum, Canthum	1	
Canela	1	1
Canella	1	1
Canella alba		1
Caneon	1	1
Canicaceus	1	1
Canicae	1	1
Canicida	1	1
Canicidium	1	1
Canicula	1	1
Canicularis	1	1
Canina appetentia	1	1
Canina brassica	1	1
Canina lingua	1	1
Canina malus	1	1
Canina rabies	1	1
Caninana	1	1
Canini dentes	1	1
Caninus sentis	1	1
Caniram	1	
Caniram, H		1
Canirubus	1	1
Canis	2	2
Canis carcharias	1	1
Canities	1	1
Canna	1	1
Canna fistula	1	1
Canna indica	1	1
Canna sepiaria	1	1
Cannabina	1	1
Cannabis	1	1
Cannacorus	1	1
Canni	1	1
Cannula	1	1
Canon	1	1
Canoniai	1	1
Canopicon	1	1
Canopite	1	1
Canopum	1	1
Canschena pou	1	1
Cansjava	1	1
Cantabrica	1	1
Cantabrum	1	1
Cantacon	1	1
Cantarelli	1	1
Canterbury waters	1	
Canterium, Cantherius	1	1
Cantharides	7	9
Canthi	1	1
Cantianus pulvis	1	1
Cantion	1	1
Cantrices	1	1
Cantum, Cantium	1	1
Canum cerasa	1	1
Canutum, Cannutum	1	1
Canze, Carnit, Canna, Cusanum	1	1
Caopoiba	1	1
Caoup	1	1
Caova, Coava	1	1
Capella	1	1
Caper	1	1
Capetus	1	1
Caphora, Caphura	1	1
Capicagtinga	1	1
Capilacteum	1	1
Capillamenta	1	1
Capillamentum	1	1
Capillaris	1	1
Capillatio	1	1
Capillitium	1	1
Capillorum defluvium	1	1
Capillus	1	2
Capillus canadenis		1
Capillus canadensis	1	
Capillus veneris	1	1
Capiplenium	1	1
Capistratio	1	1
Capistrum	1	1
Capistrum auri		1
Capita	1	1
Capitalia	1	1
Capitatae	1	
Capitatae plantae		1
Capitellium		1
Capitellum	1	
Capitiluvium	1	1
Capitis dolor	1	1
Capitis vena	1	1
Capito	1	1
Capito anadromus	1	1
Capitulum	1	1
Capivard	1	1
Capnelaeum	1	1
Capnias	1	1
Capniston	1	1
Capnitis	1	1
Capnoides	1	1
Capnorchis	1	1
Capnorchis americana		1
Capnos	1	1
Capo	1	
Capo, Capus, Gallus spado, Gallus eviratus		1
Capollin	1	1
Capotes	1	1
Capparis	1	2
Capra alpina	1	1
Capreolaris	1	1
Capreolata	1	1
Capreolus, Clavicula	1	1
Capricalca	1	1
Capricerva	1	1
Capricornus	1	1
Caprificus	1	1
Caprifolium	1	1
Caprimulga	1	1
Caprizans	1	1
Capsa	1	1
Capsella	1	1
Capsicum	1	1
Capsula	1	1
Capsula communis	1	1
Capsula cordis	1	1
Capsulae atrabilariae	1	1
Capsulae seminales	1	
Capsulae-seminales		1
Capsulate	1	
Capsulated	1	
Capulum	1	1
Capur	1	1
Capus	1	1
Caput	51	70
Caput gallinaceum	1	1
Caput monachi	1	1
Caput mortuum	1	1
Caput-purgia		1
Caputpurgia	1	
Capuupeba	1	1
Cara	1	1
Cara-nosi	1	1
Cara-schulli, H		1
Cara-schulli, H. M.	1	
Carab	1	1
Carabe	1	1
Caraburea	1	1
Carabus	1	1
Caracalla	1	1
Caracosmos	1	1
Caraguata	1	1
Carambolas	1	1
Carambu	1	1
Caranaiba	1	1
Carandas	1	1
Caranna	1	1
Caranna-tree	1	
Carapatina	1	1
Cararu	1	1
Carata, Karat	1	1
Caraucia	1	1
Carbasus	1	1
Carbo	1	4
Carbon	1	1
Carbones	1	1
Carbunculatio	1	1
Carbunculus	1	1
Carcapuli	1	1
Carcaros	1	1
Carcax	1	1
Carcer	1	1
Carcharias	1	1
Carcharodonta	1	1
Carchesium	1	1
Carchichec	1	1
Carcinadae	1	1
Carcinethron	1	1
Carcinodes	1	1
Carcinoma		18
Carcinos, Carcinoma	13	1
Cardamantice	1	1
Cardameleum	1	1
Cardamindum	1	1
Cardamine	1	1
Cardamomum	1	1
Cardamon	1	1
Cardel	1	1
Cardia	1	1
Cardiaca	5	1
Cardiaca passio		6
Cardialgia	3	5
Cardimelech	1	1
Cardinalis		1
Cardinalis flos	1	
Cardinamentum	1	1
Cardiobotanon	1	1
Cardiogmus	1	1
Cardiotrotus	1	1
Cardir	1	1
Cardis	1	1
Cardo	1	1
Cardonium	1	1
Cardopatium	1	1
Carduelis	1	1
Carduncellus	1	1
Carduus	1	2
Carduus altilis	1	
Carduus benedictus	1	
Carduus brasilianus	1	
Carduus chrysanthemus	1	
Carduus domesticus, Sativus	1	
Carduus fullonum	1	
Carduus stellatus	1	
Carduus veneris	1	
Carduus xeranthemus	1	
Carebaria	1	1
Carena	1	1
Carenum	1	1
Caretti	1	1
Careum	1	1
Carica	1	1
Caricum	1	1
Carides	1	1
Caries	1	1
Carim-curini	1	
Carim-curini, H		1
Carimpana	1	1
Carina	1	1
Carium terrae	1	1
Carlina	1	1
Carmen	1	1
Carmes	1	1
Carmin	1	1
Carminantia, Carminativa	1	1
Carmot	1	1
Carnabadium	1	1
Carneolus lapis	1	1
Carnicula	1	1
Carnifex	1	1
Carniformis	1	
Carniformis abcessus		1
Carnivorus	1	1
Carnosa	1	
Carnosa cutis		1
Caro	1	1
Caroba	1	1
Caroenum	1	1
Caroli	1	1
Caros	1	1
Carosis	1	1
Carota	1	1
Caroticus	1	1
Carotides	1	1
Caroum	1	1
Carpasus	1	1
Carpentaria	1	1
Carpesium	1	1
Carphaleon	1	1
Carphus	1	1
Carpia	1	1
Carpinus	1	1
Carpio	1	1
Carpobalsamum	1	1
Carpos	1	1
Carpus	1	
Carsia	1	1
Carthamus	1	2
Cartilago	1	1
Carui	1	
Caruifolia	1	
Carum	1	1
Caruncula	1	1
Carus	1	1
Carvi		1
Carvifolia		1
Carvinum	1	1
Carya	1	1
Carychus	1	1
Carycia, Caryce	1	1
Carycoidea	1	1
Caryedon catagma	1	1
Caryites	1	1
Caryoces, Caryosse	1	1
Caryocostinum electuarium	1	1
Caryon	1	1
Caryophyllata	1	1
Caryophyllus	3	3
Caryoti	1	1
Casamum	1	1
Cascarilla	1	1
Caschu	1	1
Caseus	1	1
Caseus.Casia		1
Casia	1	
Casibo	1	1
Casminaris, Casmunar	1	1
Cassa	1	1
Cassale	1	1
Cassamum	1	1
Cassatum	1	1
Cassavi	1	1
Cassia	3	4
Cassibor, Cassidbott	1	1
Cassida	1	1
Cassine	1	1
Cassita	1	1
Cassiteros	1	1
Cassius	1	1
Cassoleta	1	1
Cassouvarius	1	1
Cassummuniar	1	1
Cassutha	1	1
Cassyma	1	1
Castalticum	1	1
Castanea	1	1
Castastalticus		1
Castor	5	6
Castratio	1	2
Castrensis	1	1
Casus	1	1
Catablema	1	1
Catacerasticos	1	1
Catachloos	1	1
Catachresis	1	1
Catachriston	1	1
Catachysis	1	1
Cataclasis	1	1
Catacleis	1	1
Cataclines	1	1
Cataclysma	1	1
Cataclysmi	1	1
Catacores	1	1
Cataeonesis	1	1
Cataglyphe	1	1
Catagma	1	1
Catagmatica	1	1
Catagoge	1	1
Catalentia	1	1
Catalepsis	4	5
Catalotica	1	1
Catalysis	1	1
Catamenia	1	1
Catamosas	1	1
Catanance	1	1
Catangelie	1	1
Catantia	1	1
Catantlema	1	1
Catantlesis	1	1
Catapasma	1	
Catapasma, Catapastum, Diapasma, Empasma & sympasma		1
Catapasmus	1	1
Cataphora	1	1
Cataphracta	1	1
Cataplasma	1	1
Cataplexis	1	1
Cataposis	1	1
Catapotium	1	1
Catapsyxis	1	1
Cataptosis	1	1
Cataputia	1	1
Cataracta	13	16
Cataria	1	1
Catarrhecticus	1	1
Catarrheuma	1	1
Catarrhexis	1	1
Catarrhoecus	1	1
Catarrhopia	1	1
Catarrhus	2	4
Catartismus	1	1
Catasarca	1	1
Catasceue	1	1
Cataschasmos	1	1
Cataseisis	1	1
Catastagmos	1	1
Catastalagmos	1	1
Catastalticus	1	
Catastasis	1	1
Catastema	1	1
Catastole	1	1
Catastus	1	1
Catatasis	1	1
Catatripsis	1	1
Cataudesis	1	1
Cataxa	1	1
Cate	1	1
Catechesis	1	1
Catechu	1	1
Cateiadion	1	1
Catellus	1	1
Cathaeresis	1	1
Cathaeretica	1	1
Catharma	1	1
Catharmos	1	1
Catharos	1	1
Catharsis	1	1
Cathartica	11	17
Catheautonperas	1	1
Cathectice	1	1
Cathedra	1	1
Cathemerinos	1	1
Cathestecos	1	1
Catheter	1	1
Catheterismus	2	3
Cathidrysis	1	1
Cathimia	1	1
Cathmia	1	
Cathmia affidia		1
Cathochites	1	1
Cathodos	1	1
Catholceus	1	1
Catholicus	1	1
Cathygros	1	1
Cathypnia	1	1
Catias	1	1
Catillia	1	1
Catillus cinereus, Obrusae catillus		1
Catillus cinereus, Orbrusae catillus	1	
Catimia	1	1
Catinum	1	
Catinum alumen		1
Catinus fusorius	1	1
Catischon	1	1
Catma	1	1
Catoblecta	1	
Catoblecta animalia		1
Catoblepas, Catoblepon	1	1
Catocathartica	1	1
Catoche	1	1
Catocheilon	1	1
Catochites	1	1
Catodon	1	1
Catoecidios	1	1
Catomismos	1	1
Catopter	1	1
Catorchites	1	1
Catoretica	1	1
Catoxys	1	1
Catrobil	1	1
Cattu-schiragam	1	1
Catulotica	1	1
Catulus	1	1
Catus	1	1
Caucafon	1	
Caucafon, Moly indicum		1
Caucalis	1	1
Caucaloides	1	1
Caucium	1	1
Cauda	1	1
Caudatio	1	1
Caudex	1	
Caudex stipes, Truncus		1
Cauledon	1	1
Caulias	1	1
Caulis	1	1
Cauloton	1	1
Cauma	1	1
Caunga	1	1
Causa	1	1
Causis	1	1
Causodes	1	
Causodes febris		1
Causoma	1	1
Caustica	7	12
Causus	5	7
Cauteres-aquae		1
Cauterisatio	1	1
Cauterium	1	1
Cava	1	
Cava vena		1
Cavalam	1	1
Caverna	1	1
Caviarium	1	1
Cavicula or Cavilla	1	
Cavicula, Cavilla		1
Cavus	1	1
Caymanes	1	1
Ceanothos	1	1
Ceasma	1	1
Cebi	1	
Cebi gallinae		1
Cebi-pira		1
Cebipira	1	
Cebus	1	1
Cecis	1	1
Cecryphalos	1	1
Cedmata	1	1
Cedraeleum		1
Cedrelaeum	1	
Cedrelate	1	
Cedrelatum		1
Cedria	1	1
Cedrinum	1	
Cedrinum vinum		1
Cedris	1	1
Cedrites	1	1
Cedro	1	1
Cedromela	1	
Cedromella		1
Cedronella	1	
Cedrus	1	1
Cedue	1	1
Cedurini	1	1
Ceiriae	1	1
Celastrus	1	1
Celatus	1	
Celatus aer		1
Cele	1	1
Celery	1	1
Celifoli	1	
Celifoli, Coelifolium		1
Celis	1	1
Cella	1	1
Cellula	1	1
Cellulosa membrana	1	1
Celsa	1	1
Celsus	1	1
Celtis	1	1
Cembro	1	1
Cementatio		1
Cementatio, Coementatio	1	
Cementerium	1	1
Cementum	1	1
Cenchramis	1	1
Cenchrias	1	1
Cenchrites, Acontias	1	1
Cenchros	1	1
Ceneangia	1	1
Cenebria	1	1
Ceneones	1	1
Cenificatum, Cinificatum	1	1
Cenigdam	1	1
Ceniotemium	1	1
Ceniplam	1	
Ceniplam, Cenigdam, Cenigotam, Cenipolam		1
Cenosis	1	1
Centaurium	1	
Centaurium majus		1
Centimorbia	1	
Centimorbia, Nummularia		1
Centinervia	1	1
Centinodia	1	
Centinodia, Polygonum		1
Centratio	1	1
Centrion	1	1
Centrum	1	1
Centum cellis	1	1
Centunculus	1	
Centunculus, Alsine		1
Cepa	1	1
Cepaea	1	1
Cepastrum	1	1
Cephalaea	1	1
Cephalalgia	6	9
Cephalartica	1	1
Cephale	1	1
Cephalicus	1	2
Cephaline	1	1
Cephalo-pharyngaeus	1	1
Cephaloides	1	1
Cephalonosos	1	1
Cephaloponia	1	1
Cephalos	1	1
Cephalotos	1	1
Cephalotrotos	1	1
Cepini	1	1
Cepula	1	1
Cera	1	1
Ceraeae	1	1
Cerago	1	1
Ceramice, Ceramitis	1	1
Ceramium	1	1
Ceramos	1	1
Ceranites	1	1
Ceranthemus	1	1
Cerare	1	1
Ceras	1	1
Cerasiatum	1	1
Cerasion	1	1
Cerasios	1	1
Cerasma	1	1
Cerastes	1	1
Cerasus	1	1
Ceratia	1	1
Ceratio	1	1
Ceratites	1	1
Ceratitis	1	1
Ceratium	1	
Ceratoglossus	1	1
Ceratoides	1	1
Ceratomalagma	1	1
Ceratonia	1	1
Ceratophyllon	1	1
Ceratum	1	1
Ceraunia	1	1
Cerauno-chrysos	1	
Cerauno-chrysos, Aurum fulminare		1
Cerberus	1	
Cerberus triceps, Pulvis cornachini		1
Cerchnaleos	1	1
Cerchnos	1	1
Cercio	1	1
Cercis	1	1
Cercopes	1	1
Cercopithecus	1	1
Cercosis	1	1
Cerdac	1	1
Cerea	1	
Cerealia	1	1
Cerebellum	1	1
Cerebrum	12	18
Cerefactio	1	1
Cerefolium	1	1
Cereiba	1	1
Cereibuna	1	1
Cerelaeum	1	1
Cereus	1	1
Cerevisia	1	1
Cerificatio	1	1
Cerinthe	1	1
Cerinthoides		1
Cerio	1	1
Cerion	1	1
Ceritus or Cerritus	1	
Ceritus, Cerritus		1
Cernua	1	1
Cerober	1	1
Ceroma	1	1
Ceroneum	1	1
Ceropissus	1	1
Cerotum	1	1
Cerrus	1	1
Cerumen	1	1
Cerusiana	1	1
Cerussa	1	1
Cerussea	1	
Cerussea urina		1
Cervaria	1	1
Cervicalis	1	1
Cervicaria	1	1
Cerviculae	1	
Cerviculae spiritus		1
Cervix	2	3
Cervus	8	12
Cesalpina		1
Cestreus	1	1
Cestrites	1	
Cestrites vinum		1
Cestrum	1	1
Cetaceus	1	1
Cete, Cetus	1	1
Ceterach	1	1
Cevadilla	1	1
Cevillus	1	1
Chaa	1	1
Chacef	1	1
Chaerophyllum	1	1
Chafar	1	
Chafar alpini		1
Chaita	1	1
Chalasis	1	1
Chalasticos	1	1
Chalaza	1	1
Chalbane	1	1
Chalcanthum	1	1
Chalcedonius	1	1
Chalceion	1	1
Chalcidica	1	
Chalcidica lacerta		1
Chalcitis	1	1
Chalcos	1	1
Chalcus	1	1
Chalcute	1	1
Chalepos	1	1
Chalicraton	1	1
Chalinos	1	
Chalybs	1	1
Chama	1	1
Chamaeacte	1	1
Chamaebalanus	1	
Chamaebalanus leguminosa		1
Chamaebatos	1	1
Chamaebuxus	1	1
Chamaecedrys	1	1
Chamaecerasus	1	1
Chamaecissus		1
Chamaecistus	1	1
Chamaeclema	1	1
Chamaecrista	1	1
Chamaecyparissus	1	
Chamaecyparyssus		1
Chamaedaphne	1	1
Chamaedrops	1	1
Chamaedryites	1	1
Chamaedrys	1	1
Chamaeficus	1	1
Chamaefilix	1	1
Chamaegenista	1	1
Chamaeiasme	1	
Chamaeiasme alpina		1
Chamaeiris	1	1
Chamaeitea	1	1
Chamaelaea	1	1
Chamaelaeagnus	1	1
Chamaelaites	1	1
Chamaelarix	1	1
Chamaeleon	1	1
Chamaeleuce	1	1
Chamaelinum	1	1
Chamaemalus	1	1
Chamaemelum	2	2
Chamaemespilus	1	1
Chamaemorus	1	1
Chamaenerion	1	1
Chamaeorchis	1	1
Chamaepericlymenum	1	1
Chamaepeuce	1	1
Chamaepituinum	1	
Chamaepituinum vinum		1
Chamaepitys	1	1
Chamaeplion	1	1
Chamaepyxos	1	1
Chamaeraphanum	1	1
Chamaeriphes	1	1
Chamaerododendros	1	1
Chamaerops	1	1
Chamaerubus	1	1
Chamaesyce	1	1
Chamaezelos	1	1
Chambar	1	1
Chambelech	1	1
Chambroch	1	1
Chamelaea	1	1
Chameunia	1	1
Champacam	1	
Champacam, H		1
Chancre	4	5
Channa	1	1
Chanterella	1	1
Chaomantia	1	1
Chaos	1	1
Chaosda	1	1
Chaova	1	1
Chara	1	1
Charabe	1	
Charabe, Carabe		1
Characias	1	1
Characta	1	1
Character	1	1
Charadrius	1	1
Charamais	1	1
Charantia	1	1
Charcedonius	1	
Charcedonius lapis		1
Charien	1	1
Charistolochia	1	1
Charme	1	
Charme, Charmis		1
Charonius	1	1
Charta virginea	1	1
Chasme	1	1
Chate	1	1
Chauliodonta	1	1
Chaunos	1	1
Chedropa	1	1
Cheilocace	1	1
Cheilos	1	1
Cheimetlon	1	1
Cheimia	1	1
Cheimon	1	1
Cheir	1	1
Cheirapsia	1	1
Cheiri	1	
Cheiri, Cheyri, Keiri		1
Cheiriater	1	1
Cheirisma	1	1
Cheirixis	1	1
Cheironomia	1	1
Cheizi	1	1
Chela	1	1
Chelidon	1	1
Chelidonium	1	
Chelidonium majus		1
Chelidonius	1	1
Chelone	1	1
Chelonites	1	1
Chelonium	1	1
Chelys	1	1
Chelyscion	1	1
Chema	1	1
Chemaecissus	1	
Chemes		1
Chemia	15	23
Chemosis	1	1
Chenalopex	1	1
Chenocoprus	1	1
Chenopodio-morus	1	1
Chenopodium, Chenopus	1	1
Cheopina	1	1
Cheramis	1	1
Cheras	1	
Cheras, Struma, Scrophula		1
Cherefolium	1	1
Cherio	1	1
Cherionium	1	1
Chermes	2	1
Chermes mineralis		1
Chernibion	1	
Chernibium		1
Chersa	1	
Chersa, Fecula		1
Chersaea	1	
Chersea		1
Chersydrus	1	1
Cheruhunda	1	1
Cherva	1	
Cherva, Cataputia		1
Cheusis	1	1
Chezanance	1	1
Chia terra	1	1
Chiacum collyrium	1	1
Chiadus	1	1
Chiasmos	1	1
Chiastos	1	1
Chibou	1	1
Chiffir, Chifir	1	1
Chiliodynamon	1	1
Chiliophyllon	1	1
Chilli	1	1
Chilon	1	1
Chimalath, Chimalatl	1	1
Chimethlon	1	1
Chimia	1	
Chimia, Chymia		1
Chimicophanta		1
Chimolea laxa	1	1
Chimus	1	1
China	1	1
Chinense	1	
Chinense, Sinense pomum		1
Chinisci	1	1
Chioli	1	
Chioli, Furunculi		1
Chiragra	1	1
Chirapsia	1	1
Chiromantia	1	1
Chironax	1	1
Chironium	1	1
Chironomia	1	1
Chirotechnes	1	1
Chirotribia	1	1
Chirurgia	13	17
Chist	1	1
Chiton	1	1
Chium vinum	1	1
Chivef	1	
Chivef theveti		1
Chives	1	
Chivets	1	1
Chlaena	1	1
Chliaros	1	1
Chliasma	1	1
Chloe	1	1
Chlorasma	1	1
Chloros	1	1
Chlorosis	3	5
Chnus	1	1
Choa	1	1
Choacum	1	1
Choana	1	1
Choanos	1	1
Chocolata, Succolata	1	1
Chocus	1	1
Choenicis	1	1
Choenix	1	1
Choerades	1	1
Choeradolethron	1	1
Choiac	1	1
Choiras	1	1
Choiros	1	1
Cholagoga	1	1
Cholas	1	1
Chole	1	1
Choledochus	1	1
Cholegon	1	1
Cholera	6	9
Cholericus	1	1
Cholobaphinon	1	1
Choloma	1	1
Cholos	1	1
Chondrilla	1	1
Chondrilloides	1	1
Chondros	1	1
Chondrosyndesmus	1	1
Chone	1	1
Chopino, Cheopina	1	1
Chora	1	1
Chorda	1	1
Chordapsus	1	1
Chordata	1	
Chordata gonorrhea		1
Chorde	1	
Chorde, Corde		1
Chorea sancti viti	1	1
Choregia	1	1
Chorion	1	1
Choroides	1	1
Chosnos	1	1
Chouan	1	1
Choyne	1	1
Chrema	1	1
Chrestos	1	1
Chrisis	1	1
Christi manus	1	
Christi-manus		1
Christophoriana	1	1
Christos	1	1
Chroma	1	1
Chromatismus	1	1
Chromis	1	1
Chronicus	1	
Chronicus, Chronius		1
Chros	1	1
Chrysalis, Aurelia, Nympha	1	1
Chrysalites	1	1
Chrysanthemoides	1	1
Chrysanthemum	1	1
Chrysatticum	1	1
Chryse	1	1
Chrysisceptrum	1	1
Chrysitis spodos	1	1
Chrysobalanus	1	1
Chrysocallia	1	1
Chrysoceraunius	1	1
Chrysochalcos	1	1
Chrysocolla	1	
Chrysocolla, Borax		1
Chrysocome	1	1
Chrysodendron	1	1
Chrysogonia	1	1
Chrysogonum	1	1
Chrysolachanon	1	1
Chrysolithus	1	1
Chrysopasius	1	
Chrysopazius		1
Chrysoplycius pulvis	1	1
Chrysopoeia	1	1
Chrysopus	1	1
Chrysos	1	1
Chrysosplenium	1	1
Chrysulca	1	1
Chrysun	1	1
Chu, Chus	1	1
Chybur, Chibur	1	1
Chylarion	1	1
Chylificatio, Chylosis	1	1
Chylisma	1	1
Chylostagma	1	
Chylostagma diaphoreticum mendereri		1
Chylus	3	6
Chymation	1	1
Chymia	1	1
Chymiatria	1	1
Chymicophanta	1	
Chymolea	1	1
Chymosum	1	1
Chymus	1	1
Chysis	1	1
Chytlon	1	1
Chytra, Chytrinos, Chytridion	1	1
Cibage	1	1
Cibarium	1	1
Cibarius panis		1
Cibatio	1	1
Cibouls, Chibouls	1	
Cibur, Chybur	1	1
Cibus	1	1
Cibus albus		1
Cicada	1	1
Cicatricula	1	1
Cicatrisantia	1	1
Cicatrix	1	1
Ciccus	1	1
Cicer album	1	1
Cicera tartari	1	1
Cicerbita	1	1
Cicercula	1	1
Cicethe	1	1
Cichorium	1	1
Ciciliana seu Siciliana	1	
Ciciliana, Siciliana planta		1
Cicindela	1	1
Cicinum	1	
Cicinum oleum		1
Cicis	1	1
Cicla	1	1
Cicongius	1	1
Ciconia	1	1
Cicuta	1	1
Cicutaria	1	1
Cidra		1
Cidra seu pomaceum	1	
Cignus	1	1
Cilia	1	1
Ciliare ligamentum	1	1
Ciliaris	1	
Ciliaris musculus		1
Cillo	1	1
Cilo	1	1
Cimentatio	1	1
Cimex	1	1
Cimolia alba	1	1
Cina cinae	1	1
Cinabaris	1	1
Cinaedus	1	1
Cinara	1	1
Cinaroides	1	
Cinaroides, Lipida carpodendron		1
Cinclisis, Cinclismos	1	1
Cinefactio	1	1
Cineraria	1	1
Cinerarium	1	1
Cineratio	1	1
Cineritium	1	1
Cinerula	1	
Cinerula, Spodium		1
Cinetus	1	1
Cingulum sancti joannis		1
Cingulum sancti johannis	1	
Cingulum sapientiae	1	1
Cinificatum	1	1
Ciniflones	1	1
Cinis	1	1
Cinnabaris	2	3
Cinnamomum	4	5
Cinnioglottus, Cinnatus	1	1
Cinnus	1	
Cinnus, Cyceon		1
Cinzilla	1	1
Cion	1	1
Cionia	1	1
Cionis	1	1
Ciporema	1	1
Circaea	1	1
Circius	1	1
Circos	1	1
Circuitus	1	1
Circulatio	1	1
Circulator	1	1
Circulatorium	1	1
Circulatum	1	1
Circulus	1	1
Circumcalualis, Circumossalis	1	1
Circumcisio	1	1
Circumforaneus	1	1
Circumlitio	1	1
Circumossalis	1	1
Circumstantia	1	1
Cirlus	1	1
Cirrhos	1	1
Cirri	1	1
Cirsium	1	1
Cirsocele	1	1
Cirsoides	1	1
Cirsos	1	1
Cissampelo	1	1
Cissampelos	1	1
Cissamthemos		1
Cissanthemos	1	
Cissibium		1
Cissinum	1	1
Cissybium	1	
Cist, Kist	1	1
Cista	1	1
Cisterna	1	1
Cistus	1	1
Cistus Ladanifera	1	
Citharus	1	1
Citra	1	1
Citrago	1	1
Citreum	3	3
Citrinatio	1	1
Citrinella	1	1
Citrinula	1	1
Citrinulus	1	1
Citrones	1	1
Citrullus	1	1
Citta	1	1
Cittites	1	1
Civetta	1	1
Clados	1	1
Claer	1	1
Clakis	1	1
Clamor	1	1
Clandestina	1	1
Clange	1	1
Clareta	1	1
Claretum	1	1
Clarificatio	1	1
Clarum	1	1
Clasis, Clasma	1	1
Claudiacon	1	1
Claudicatio	1	1
Claustrum	1	
Claustrum gutturis		1
Clausura	1	1
Clavata	1	1
Clavatio	1	1
Clavellati Cineres	1	
Clavellati cineres		1
Claviculae	3	4
Clavis	2	
Clavis siliginis		1
Clavus	4	1
Cleidion	1	1
Cleis	1	1
Cleisagra	1	1
Cleithron	1	1
Clema	1	1
Clematis	1	1
Clematitis	1	1
Cleonis	1	1
Cleophantus	1	1
Clepsydra	1	1
Cliamcion		1
Clibanus	1	1
Clidion	1	1
Clima	1	1
Climacion	1	
Climacter	1	1
Climactericus	1	
Climactericus annus		1
Climia	1	1
Clineres	1	1
Clinicus	1	1
Clinoides	1	1
Clinopetes	1	1
Clinopodium	1	1
Clissus	1	1
Clistus	1	1
Clitoridis	1	1
Clitoris	1	1
Cloaca	1	1
Clonodes	1	1
Clonos	1	1
Clunes	1	1
Clupea	1	1
Clutia	1	1
Clydon	1	1
Clyma	1	1
Clymenos		1
Clymenos dioscoridis	1	
Clymenum	1	1
Clypealis Cartilago	1	
Clypealis cartilago		1
Clypeus	1	1
Clysma	1	1
Clyssiformis	1	1
Clyssus	1	2
Clyssus antimonii	1	1
Clyster, Clysterium	1	1
Cnacos, Cnecos	1	1
Cnaphos	1	1
Cnemata	1	1
Cnemiu	1	1
Cnemodactylaeus	1	1
Cneoron	1	1
Cneoron album		1
Cnesera	1	1
Cnesis	1	1
Cnesma	1	1
Cnesmos	1	1
Cnestron	1	1
Cnicelaeon	1	1
Cnicion	1	1
Cnicus	2	2
Cnide	1	1
Cnidelaeon	1	1
Cnidia grana	1	1
Cnidosis	1	1
Cnipes	1	1
Cnipotes	1	1
Cnismos	1	1
Cnissoregmia	1	1
Cnyma	1	1
Co, Cos, Coos	1	1
Coa	1	1
Coactio	1	1
Coacus	1	1
Coagulantia	1	1
Coagulatio	1	1
Coagulum	1	1
Coal, Scotch coal	3	
Coalescentia	1	1
Coalternae	1	
Coalternae febres		1
Coapoiba	1	1
Coarctatio	1	1
Coarticulatio	1	1
Coaxochitl	1	
Cobaltum	1	1
Cobastoli	1	1
Cobban	1	1
Cobites	1	1
Cobra de capello	1	1
Cocazochitl	1	
Cocazochtitl		1
Cocca	1	1
Coccalos	1	1
Coccarium	1	1
Coccinella	1	1
Coccion	1	1
Coccobalsamon	1	1
Coccones	1	1
Cocconilea	1	1
Coccos	1	1
Coccos, Coccum	1	1
Coccothraustes	1	
Coccotrhaustes		1
Cocculus indus	1	1
Coccus	1	
Coccus americanus		2
Coccygria	1	1
Coccymelea	1	1
Coccyx	1	1
Cochia	1	1
Cochinilla & Coccinilla	1	
Cochinilla & coccinilla		2
Cochlax	1	1
Cochlea	4	5
Cochlea aquatica	1	
Cochlea caelata	1	
Cochlea minor ex luteo, nigro variegata	1	
Cochlea nuda	1	
Cochlea olearia	1	
Cochlea terrestris, Limax terrestris	1	
Cochlear, Cochleare, Cochlearium	1	1
Cochlearia	1	1
Cochleata	1	1
Cochlia, Cochlias	1	1
Cochliacon		1
Cochliaxon	1	
Cochlidium	1	1
Cochlita	1	1
Cochone	1	1
Cocilio	1	1
Cocolata	1	1
Cocomica signa	1	1
Cocos	1	1
Coctio	1	1
Codaga pala		1
Codaga-pala, H. M.	1	
Codagen	1	1
Codda panna		1
Codda-panna	1	
Coddam pulli		1
Coddam-pulli	1	
Codesella	1	1
Codi-avanacu	1	
Codi-avanam		1
Codia	1	1
Codoscellae	1	1
Coela	1	1
Coelestinus	1	1
Coelia	6	9
Coeliaca	1	
Coeliaca arteria		1
Coeliaca passio	1	1
Coelifolium	1	1
Coeloma	1	1
Coelostomia	1	1
Coelum	1	1
Coementatio		1
Coementatio coementum	1	
Coementum		1
Coena	1	1
Coenologia	1	1
Coenotes	1	1
