Aden	0
AdeniWs	0
Adenoides	0
Adenosus abscessus	0
Adephagia	0
Adeps	5
Adepta philosophia	0
Ader	0
Adhaerentia	0
Adhatoda	0
Adhehe	0
Adho, Adoc	0
Adiachytos	0
Adianthum	2
Adiaphoros	0
Adiapneustia	0
Adiaptotos	0
Adiarrhoea	0
Adib	0
Adibat	0
Adibisi, Adibizi	0
Adidacus	0
Adjectio	0
Adice	0
Adipsatheon	0
Adiposa membrana	0
Adipson	0
Adipsos	1
Adirige	0
Adjutorium	0
Adjuvantia	0
Adiylistos	0
Admirabilis	0
Admisurab	0
Adnata tunica	0
Adnata, Adnascentia	0
Adolescens	0
Adonion	0
Adonis flos	0
Ador	0
Adorat	0
Ados	0
Adplumbatum	0
Adra riza	0
Adrachne	1
Adram	0
Adraragi	0
Adrariges	0
Adrianus	0
Adrop	0
Adrobolon	0
Adros	0
Adsamar	0
Adsellare	0
Adstrictio	0
Adstringens	0
Adulteratio	0
Adulterium	0
Adustio	0
Adustion	0
Adynamia	0
Adynamon	0
Ady	1
Adynatos	0
Aeazo	0
Aedes	0
Aedoia	0
Aegagropila	0
Aegeirinon	0
Aegeiros	0
Aegides	0
Aegidion	0
Aegilops	2
Aegimius	0
Aegineta (Paulus)	0
Aegle	0
Aeglia	0
Aegoceras	0
Aegolethron	1
Aegonychon	0
Aegoprosopon	0
Aegyptiacum unguentum	0
Aegyption	1
Aegyptium linum	0
Aluta aegyptia	0
Aegyptium andromachi emplastrum	0
Aegyptium croceum unguentum	0
Aegyptius pessus	0
Aegyptium pharmacum ad aures	0
Aegyptia ulcera	1
Aegyptia antidotus	0
Aeichryson	0
Aeigluces	0
Aeipatheia	0
Aeithales	0
Aeizoon	0
Aelianus meccius	0
Aelius promotus	0
Aemilius macer	0
Aeolipylae	0
Aeon	0
Aeonion	0
Aeonesis	0
Aeora	0
Aepos	0
Aequalis	1
Aequilibrium	0
Aequinoctium	0
Aequipollens	0
Aer	22
Aera	0
Aerdadi	0
Aereolum	0
Aerificatio	0
Aerologice	0
Aeromeli	0
Aerophobi	0
Aerosis	0
Aeruginosus	0
Aerugo	0
Aes	4
Aesalo	0
Aeschos	0
Aeschrion	0
Aeschynomenous	0
Aesculapius	3
Aestas	0
Aestates	0
Aesthesis	0
Aesthphara	0
Aestuarium	0
Aestuatio	0
Aestus	0
Aetas	1
Aethale	0
Aethales	0
Aether	1
Aetheria herba	0
Aethes	0
Aethiopicum cuminum	0
Aethiopicus lapis	1
Aethiops mineralis	0
Aethiops antimonialis	0
Aethna	0
Aetholices	0
Aethya	0
Aethyia	0
Aetia	0
Aetiologia	0
Aetites	1
Aetius	2
Aetoi phlebes	0
Aetolion	0
Aetoma	0
Aetonychum	0
Affax, Affarx, Affaris	0
Affectio, Affectus	0
Affenicum	0
Affeos	0
Affidra	0
Affion	0
Afflatus	0
Afflictio	1
Affodius	0
Afformas	0
Affrengi	0
Affrodina	0
Affronitum	0
Affroton	0
Affusio	0
Afra	0
Afragar	0
Africanus flos	1
Afrob	0
Aga cretensium	0
Agalactia	0
Agallochum	2
Agaricoides	0
Agape	0
Agar	0
Agaricus	3
Agasyllis	0
Agatharcides	0
Agathinus	0
Agathon	0
Agathonis antidotus hepatica	0
Agaty H. M	0
Agaty H. M.	0
Agelaeos	0
Agem	0
Ager chymicus	0
Agerasia	0
Ageratum	0
Ageratus lapis	0
Ages	0
Age vita	0
Ageustia	0
Agglutinatio	1
Agglutinatio pilorum	0
Aggregatum	0
Agiahalid	0
Agitatio	0
Aglia	0
Aglithes	0
Agme	0
Agnacat	0
Agnanthus	0
Agnata	0
Agnina membrana, Pellicula	0
Agnina lactuca	0
Agnoia	0
Agnus	0
Agnus scythicus	1
Agnus castus	1
Agoge	0
Agomphiasis, Gomphiasis	0
Agone	0
Agonia	1
Agonisticon	0
Agonos	0
Agoraeus	0
Agostus	0
Agresta	0
Agresten	0
Agrestis	0
Agria	1
Agriampelos	0
Agricultura	1
Agrielaea	0
Agrifolium	0
Agrimonia	1
Agrimonoides	0
Agriocardamum	0
Agriocastanum	0
Agriocinara	0
Agriococimelea	0
Agriomela	0
Agrion	0
Agriophyllon	0
Agrioriganum	0
Agrioselinum	0
Agriostari	0
Agripalma	0
Agrippae	2
