155	ACROCHIRESIS	ἀκροΑ:Ε!ρησις, ἀκροχειρισμὸς, ἀκροχειρίη
156	ACROCHLIARON	ἀκροχλίαρον, ἄκρως, χλιαρόν
157	ACROCHOLIA	άκροχολιἀ, ἀηρηχολτά, ἀκραχολία
158	ACROCHORDON	ἀκρρχορδο'ν
159	ACROCHORISMUS	ἀκροχιρισμὸς
160	ACROCOLIA	ἀκροκώλια
161	ACRODRYA	ἀκρόδρνα, ὀντορῶν
162	ACROLENION	ἀκρρλήνιον
163	ACROMION	ἀκρώμιον
164	ACROMPHALION	ἀκρομφάλιον
165	ACROPATHOS	αἄροπάθος
166	ACROPIS	ἄηροπις, ἀκροατὴς, ἀκρωπτς )
167	ACROPLOA	ἀκρόπλοα
168	ACROPOSTHIA	ἀκροποσθία, ακροποσθίη
169	ACROPSILON	ἀκρόψιλον
170	ACROS	ἄαρος, ἅαρη
171	ACROSAPES	ἀκροσωτὰς
172	ACROTERIA	ἀκρωτὴρια, ἄκρεα, ἀκραλτά
173	ACROTERIASMOS	ἀκρωτηριασμὸς
174	ACROTHOREX	ἀκροθώρεξ, τῷ
175	ACSUO	
176	ACTIN	ἀκτὶν, ἀκτὶς
177	ACTINOBOLISMUS	ἀκτινοβολισμὸς, ἀκτινοβολτά
178	ACTIO	ἐνέργεια, πράξις
179	ACTIVUS	δραστικαὶ
180	ACTUATIO	
181	ACTUS	ἐνέργεια, δυνάμει, τὸ, καὶ', γειαν
182	ACUITAS	
183	ACUITIO	
184	ACUMEN	
185	ACUREB	
186	ACUS	ίελ
187	ACUSIOS	ἐκουσίῳ, ἄκουινα
188	ACUSTICUS	ἀκουστικὸς
189	ACUSTO	
190	ACUTUS	ὀξὺς
191	ADAL	
192	ADAM	
193	ADAMAS	ἀδαμὸς
194	ADAMITA	
195	ADARCE	ἀδαλάκη, ἀδαρκιον, ἄδαρκις
196	ADARIGO	
197	ADARTICULATIO	ἀρθρωδίἄ, προούρο
198	ADAXOMAE	ἀδα'ξημαι, ὀδα'ξομαι
199	ADDEPHAGIA	άδηφαγία
200	ADDITAMENTUM	ἐπίφνσις
201	ADDITIO	πρόσθεσις
202	ADDUCTIO	παραγωγῆ
203	ADEC	
204	ADECH	
205	ADECTOS	ἄδηκτος
206	ADEDENTES	
207	ADEHEMEST	
208	ADELOS	ἄδηλος
209	ADELPHIXIA	ἀδελφιξτά, ἀδελφιξις
210	ADEMONIA	ἀδημοντά, ἀδημων
211	ADEN	ἀδὴν
212	ADENOIDES	ἀδενοειδὴς
213	ADENOSUS	
214	ADEPS	ἀξούγγιον
215	ADEPTUS	
216	ADHAERENTIA	πρόσφνσις
217	AOIACHYTOS	ἀαλάχυτος
218	ADIAPHOROS	
219	ADIAPNEUSTIA	άθλάπνενσία
220	ADIAPTOTOS	ἀαλάπτωτος
221	ADIARRHOEA	ἀδιαδιαια
222	ADIB	
223	ADIBAT	
224	ADJECTIO	προσταγωγὴ, πρόσθεσις, τοῦ
225	ADIPSON	ἀδίψβν
226	ADJUTORIUM	
227	ADJUVANTIA	συνεργατικά
228	ADIVILISTOS	ἀδίύλιστος
229	ADMIRABILIS	θμαμαστὸς
230	ADMIRATIO	θαῦμα
