cote	entry	grec
_27898	Anapnoique	
_27898	Anarthrie	
_27898	Anastrophie	ανάστροφος
_27898	Anataxie	
_27898	Anchieta	
_27898	Anchiétine	
_27898	Anchilostome	
_27898	Ancone	
_27898	Anda, Anda-açu, Andassu, Anda de pison	
_27898	Andabre	
_27898	Andermatt	
_27898	André de La Croix	
_27898	Andrographis	
_27898	Anèbe	άνηβος
_27898	Anélectrotonique	
_27898	Anélectrotonus	
_27898	Anencéphale	
_27898	Anencéphalohém	
_27898	Anépiploique	
_27898	Anésine, Anéson	
_27898	Anesthesimètre	
_27898	Anesthésique	
_27898	Anesthie	
_27898	Anetlinau	
_27898	Aneurose	
_27898	Angélonie	
_27898	Angiocholécystite	
_27898	Angiocholite	
_27898	Angiohemie	
_27898	Angiokératome	
_27898	Angiolithique	
_27898	Angionosé	
_27898	Angiorragie, Angiorrhagie	
_27898	Angiose	
_27898	Angiospastique	
_27898	Angiosténique	
_27898	Angiotérie	
_27898	Angiotribe	
_27898	Angiotripsie	
_27898	Angor	
_27898	Angulaire	
_27898	Anhéler	
_27898	Anhématopoièse	
_27898	Anhématose	
_27898	Anhépatie	
_27898	Anhidrose	
_27898	Anhydratation	
_27898	Anhydrisation	
_27898	Anhydrite	
_27898	Anilipyrine	
_27898	Aniodol	
_27898	Anisode	
_27898	Anisometropie	
_27898	Ankylostomasie	
_27898	Ankylurétrie	
_27898	Ankyrism	
_27898	Annélidés	
_27898	Annexite	
_27898	Anocœliadelphe	
_27898	Anodin, Anodyn	
_27898	Anonnement	
_27898	Anophtalmie	
_27898	Anophtalmohémie	
_27898	Anorchide	
_27898	Anorcrcidie	
_27898	Ano-rectal	
_27898	Anc-spinal	
_27898	Anoxémie, Anoxyémie	
_27898	Antagoniste	
_27898	Antécédent	
_27898	Antephialtique	
_27898	Antharobine	
_27898	Anthelminthique	
_27898	Anthracénise	
_27898	Anthracine	
_27898	Anthraquinone	
_27898	Anthropologique	
_27898	Anthropologue	
_27898	Anthroponomié	
_27898	Anthropophage	
_27898	Anthypocondriaque	
_27898	Antiaphrodisiaques	
_27898	Antiar	
_27898	Antiataxique	
_27898	Anticharbonneux	
_27898	Anticceur	
_27898	Anticorps	
_27898	Antidénutritif	
_27898	Antidéperditeur	
_27898	Antidesma	
_27898	Antidotisme	
_27898	Antifarcineux	
_27898	Antifébrine	
_27898	Antihémorragique	
_27898	Antihémorroïdal	
_27898	Antilaiteux	
_27898	Antiléthargique	
_27898	Antinéphrétique	
_27898	Antinosine	
_27898	Antiobésique	
_27898	Antiorgastique	
_27898	Antipaludéen	
_27898	Antipeptone	
_27898	Antiphone	
_27898	Antiphthiriaque, Antiphthirique	
_27898	Antipyrine	
_27898	Antipyrotiqué	
_27898	Antisepsie	
_27898	Antiseptol	
_27898	Antispasmodiques	
_27898	Antithermique	
_27898	Antitoxine	
_27898	Antivariolique	
_27898	Antivenin	
_27898	Antivirulent	
_27898	Antogast	
_27898	Anupographie	
_27898	Anurique	
_27898	Anytyne	
_27898	Aournier	
_27898	Apama	
_27898	Apanthropon	
_27898	Apéritifs	
_27898	Apexien	
_27898	Aphrodisiaques	
_27898	Aphrodisie	
_27898	Aphte	άφθαι
_27898	Aphteux	
_27898	Aphtoïde	
_27898	Aphtophyte	
_27898	Apium	
_27898	Aplanétisme	
_27898	Aplasie	
_27898	Aplastique	
_27898	Apneumatosis	
_27898	Apocodéine	
_27898	Apocynum cannabinum	
_27898	Apolaire	
_27898	Apollinaris	
_27898	Apolysine	
_27898	Apophysaire	
_27898	Apoplectoïde	
_27898	Aporrhinosé	
_27898	Aposépedine	
_27898	Appendicite	
_27898	Application	
_27898	Apraxie	
_27898	Âprete	
_27898	Aprosexie	
_27898	Aqueda	
_27898	Aquilaire	
_27898	Arabinose	
_27898	Araignee	
_27898	Aran	
_27898	Aran-Duchenne	
_27898	Araroba	
_27898	Arcachon	
_27898	Arcæus	
_27898	Archangélique	
_27898	Archena	
_27898	Archencéphale	
_27898	Archentère	
_27898	Archiblaste	
_27898	Archiblastula	
_27898	Archigastrula	
_27898	Arco	
_27898	Arecaïne	
_27898	Arécaline, Arécoline	
_27898	Arechavaleta	
_27898	Arenaria	
_27898	Arène	
_27898	Aréocèle	
_27898	Argas	
_27898	Argelès-Gazost	
_27898	Argentation	
_27898	Argon	
_27898	Argonine	
_27898	Argus	
_27898	Argyll-Robertson	
_27898	Argyrie	
_27898	Argyrique	
_27898	Arhéol	
_27898	Aristol	
_27898	Arithmomanie	
_27898	Armanni	
_27898	Armarinte	
_27898	Arme	
_27898	Arnédillo	
_27898	Arnstadt	
_27898	Arosa	
_27898	Arrythme, Arrythmique	
_27898	Arrythmie	
_27898	Arseniate	
_27898	Arsenicaux	
_27898	Arséniophtisie	
_27898	Arsénique	
_27898	Arsonvalisation	
_27898	Artanthe	
_27898	Artémise	
_27898	Artérioscléreux	
_27898	Artérioxérose	
_27898	Arthrectomie	
_27898	Arthrodèse	
_27898	Arthrophyte	
_27898	Arthropodes	
_27898	Arthrospore	
_27898	Arthrotomie	
_27898	Articulés	
_27898	Arundo	
_27898	Arushhara	
_27898	Arvore	
_27898	Asapeixe	
_27898	Asaprol	
_27898	Asarum	
_27898	Ascaricide	
_27898	Ascension	
_27898	Asémie	
_27898	Asepsie	
_27898	Aseptique	άσηπτνζος
_27898	Aseptol	
_27898	Asheville	
_27898	Aspergillose	
_27898	Aspirine	
_27898	Assamare	
_27898	Assurance	
_27898	Astasie	
_27898	Astérion	
_27898	Astérol	
_27898	Astigmatique	
_27898	Astigmomètre	
_27898	Astley Cooper	
_27898	Astraphobie	
_27898	Astringent	
_27898	Asyllabie	
_27898	Asymbolie	
_27898	Asymetrie	
_27898	Asynclitisme	
_27898	Atélencephalie	
_27898	Atélognathie	
_27898	Athélie	
_27898	Athermosystaltique	
_27898	Athérosperme	
_27898	Athétoïde	
_27898	Athétose	
_27898	Athrepsie	
_27898	Atloido-occipital	
_27898	Atomon	
_27898	Atresie	
_27898	Atrétocystié	
_27898	Atrétolemie	
_27898	Atretométrie	
_27898	Atrétostomie	
_27898	Atréturétrie	
_27898	Atriplicisme	
_27898	Attache	
_27898	Attractifs	
_27898	Attrape-lourdaud	
_27898	Audinac	
_27898	Audiomètre	
_27898	Audiphone	
_27898	Auenbrugger	
_27898	Aufrecht	
_27898	Aulus	
_27898	Aussee	
_27898	Auteuil-paris	
_27898	Autochtone	
_27898	Autodigestion	
_27898	Autographisme	
_27898	Auto-infection	
_27898	Auto-intoxication	
_27898	Automatisme	
_27898	Automnal	
_27898	Autoophtalmoscope	
_27898	Autosuggestion	
_27898	Autotomie	
_27898	Autotransfusion	
_27898	Avalanche	
_27898	Avant-coin	
_27898	Avants	
_27898	Avellis	
_27898	Avenbrugger	
_27898	Avène	
_27898	Avenine	
_27898	Aviaire	
_27898	Avorter	
_27898	Ax	
_27898	Axenstein	
